SEQUENCE	CLASS	PHASE	BYTE_LENGTH	SHA-256	ROLE	RELATIVE_PATH
011	STATIC	173C	3426	ACA6E6A6AA47A8E925B9CDC140B1D93D1CD8F495358FD607876646113D2BB503	ACCEPTANCE_CONTROL	platform_b1_mvp2/assurance_os/inventory/step_173_labtrust_ramat_gxp_control_patterns_scope_review/acceptance_control_index.json
012	STATIC	173C	849	C29193F45340CC7EFA5D3C77F89C00A4E45DFAAFD33098AFBA890C9C531FD1DF	TRACEABILITY_CONTROL	platform_b1_mvp2/assurance_os/inventory/step_173_labtrust_ramat_gxp_control_patterns_scope_review/planning_traceability_map.json
013	STATIC	173C	783	F0039AA186D35ECBFA229B64CB77ACE1AE7A58894E4AB853186D0537257EDF4B	DOCTRINE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/README.md
014	STATIC	173C	577	4F2DAADE46666805F619BDF61F26587EFBC1F45125166E9F24F9F0DE21E0EAF9	DOCTRINE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/docs/labtrust_doctrine.md
015	STATIC	173C	311	9F91EA96F98F7EE38DD8AF55164CEE5DD8074A1E00A6775E6D4D36D1383C13CC	DOCTRINE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/docs/assurance_decision_doctrine.md
016	STATIC	173C	369	1872A5574D1D32B20B9B89E9D6A9E6ED3284BEF08BF6C867E04686FFAFCBEC89	DOCTRINE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/docs/no_bind_governance.md
017	STATIC	173C	296	66BB63068A0C2AEDF27E66A30EBFB72F86C1D1AF2E46EA3BC55E988CF2C34329	DOCTRINE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/docs/source_system_authority.md
018	STATIC	173C	275	DC4739370F25394C94D3FE2255535B82FA2F259B891D379740FB9A84CB249219	DOCTRINE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/docs/accountable_human_authority.md
019	STATIC	173C	438	909EEBBAFB624774ADE984A1E77B5F5396D8B3544024E18962D1AD57CF618666	DOCTRINE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/docs/ramat_vision_display_only_boundary.md
020	STATIC	173C	319	25A497AAD315099124EDE263F4F542D09EFFCE7A7AD54C9AF79E07E7B17088AD	DOCTRINE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/docs/synthetic_data_and_sanitization_policy.md
021	STATIC	173C	260	5351755A93DB9156752A39747F227A93D50F373A28CB3924F8914C08E0F8A471	DOCTRINE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/docs/inspection_reconstruction_doctrine.md
022	STATIC	173C	403	C5631B9DA26A7A59826ACEC8B847E9C6177C8FD2001E926A9D0557CF14D59271	DOCTRINE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/docs/regulated_equipment_reality_graph_doctrine.md
023	STATIC	173C	925	2F158245D54B7021115ABF2240624F2E3EE79DDC63EFC91FEC8FC876BC60D3CC	SCHEMA	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/schemas/control_pattern.schema.json
024	STATIC	173C	670	51CE9C8C63A7E57577C16FE651AD1979F7C49C0C694DF4CA4BCD80A1A1A16FEA	SCHEMA	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/schemas/control_input.schema.json
025	STATIC	173C	798	EE3A1B1D11433CC657CB6DD86C9A5092FFD502FFE25F05EF19E7BE3C767DC592	SCHEMA	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/schemas/decision_outcome.schema.json
026	STATIC	173C	794	420C02DFD19332088F51F36B3B62F8B4A11D057ED60F082F2CC1BCD177F0AA94	SCHEMA	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/schemas/decision_precedence.schema.json
027	STATIC	173C	760	E92B8C0CF80C16B0DEC4CFB4F6A3C5535E778EB740E6F1EF8BC695260D99910B	SCHEMA	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/schemas/authority_state.schema.json
028	STATIC	173C	801	D1A1ECAEF2514182C2025E5558CEC9B42CB7B3BBB908CE1E974AE37162BAA760	SCHEMA	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/schemas/evidence_state.schema.json
029	STATIC	173C	765	EE83B8AC72D43530F43BBE4C002D4AD3BCA5DEA650704439597C639443ECB8C1	SCHEMA	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/schemas/review_state.schema.json
030	STATIC	173C	789	6ECA390FCF857121CA34257709324085E4EE96D0D57F4FD9DE7981FB21CACB94	SCHEMA	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/schemas/source_snapshot.schema.json
031	STATIC	173C	854	F40BF7127391860F154969B0C8029247609F3CFA0A99841B2B142904F2AF1CCE	SCHEMA	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/schemas/source_disagreement.schema.json
032	STATIC	173C	911	36D7FBC0A7AE7CDB0B177CE3EDEAB1650805AF3C116D3DFC4B40818757722A06	SCHEMA	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/schemas/ramat_display_state.schema.json
033	STATIC	173C	1096	4224D4C6A378E42E55334904419CE7BB1727D47EE8F4C0105FDAA64E67833BD8	SCHEMA	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/schemas/ramat_display_contract.schema.json
034	STATIC	173C	1071	C60095C7D045C4B22746361BA5F628BA9C58CAD4FBEC0B650D3682D0C44B18BB	SCHEMA	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/schemas/equipment_passport.schema.json
035	STATIC	173C	1028	1631C383F4E75BFDC81BCA8E0FFFCC44292254E02536E45AA438A6605561A197	SCHEMA	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/schemas/validation_standing.schema.json
036	STATIC	173C	938	0F143CA2D81A58F310D204A4DEB9BC1B1763375DD0B24CCF067D49E8FA991876	SCHEMA	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/schemas/measurement_integrity.schema.json
037	STATIC	173C	926	9DE39A9515B51723892D42C53C5C077360F360F98533E4DCBB104862CF7B22D1	SCHEMA	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/schemas/environmental_readiness.schema.json
038	STATIC	173C	978	350BB46C5DEA7F3E0DE3D91E647E28DBB05445A51CCBA9037D8E25DC28D80E36	SCHEMA	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/schemas/analytical_result_reliance.schema.json
039	STATIC	173C	899	8232F3227E479F800E129E79823339471D9C1C9D71F8ACC66C7ADA57276DD571	SCHEMA	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/schemas/maintenance_lifecycle.schema.json
040	STATIC	173C	933	3EA8055DAEC3E6F61AF7D0BE703DD8AAB4079169FA893538B421212DE3618C2B	SCHEMA	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/schemas/cmdb_authority.schema.json
041	STATIC	173C	1227	BA9F8587D95F891676E54A7D00305C88FCB453181EF04894A9602B0963C5B4FB	SCHEMA	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/schemas/migration_readiness.schema.json
042	STATIC	173C	999	8718752674BD94FB323DED25584C589207E8EB8BF20D16DFCF7AB32E4737D626	SCHEMA	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/schemas/inspection_reconstruction.schema.json
043	STATIC	173C	768	055C798D2552015092536743FA7AE946CDE47390BF128AE8B788A6CF6A56ABCA	SCHEMA	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/schemas/equipment_reality_graph.schema.json
044	STATIC	173C	886	3C62BC3B9DD3DE17D67879FAB8781E0AE5F4261EB61FCBBE314BA4A142F329CB	SCHEMA	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/schemas/synthetic_scenario.schema.json
045	STATIC	173C	942	334B34F94C80F25E3200440AF2A4B073EA9CBE1CA259C4F61975BDCE9E70ED7E	GOVERNED_CONFIG	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/config/decision_outcomes.json
046	STATIC	173C	193	A48B90EA72E7EA46943CBA8AA68420C396D51C0D2CC1F75E6DDD5916D9B08154	GOVERNED_CONFIG	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/config/decision_precedence.json
047	STATIC	173C	3381	9B3BDD708BCB481096B4AB23A88568D595A4A8CB173785700FAE591174F7C11E	GOVERNED_CONFIG	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/config/control_families.json
048	STATIC	173C	3445	C659229D672A2D1075611BA744319AA7AB386DB09F282F343F1240358E03EC0F	GOVERNED_CONFIG	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/config/display_states.json
049	STATIC	173C	1871	C8F00D22ACF25BD542920D540D2CDEE46906ABB586D527DCCB0C83ACCFA715A0	GOVERNED_CONFIG	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/config/source_system_families.json
050	STATIC	173C	283	CB3D1EAD425FA50BB4E52CB704E07F5009AB0CF4774050CA061D73903E05F2DA	GOVERNED_CONFIG	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/config/prohibited_actions.json
051	STATIC	173C	1826	0ED5D3611313E5ABEB24974CA2B2384FDD634048656B532F22802B92705FC794	CONTROL_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/labtrust/core.json
052	STATIC	173C	1754	00507F75E28D645DCB02CE32B05EB2AA1408C944527E4B79959B3C8542E9C52C	CONTROL_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/spreadsheettrust/core.json
053	STATIC	173C	1732	06D5CC5D44CC37B6371D9DBEE9DD781A65BBFB998A548A2DEE948C75F1237D0E	CONTROL_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/pipettetrust/core.json
054	STATIC	173C	1763	BAE943175A6D4063F400E4FCBB4AE1C9328F99A20C39B2951D473482AB10AE4A	CONTROL_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/balancetrust/core.json
055	STATIC	173C	1748	CF86E15F34E692619448F6BF4E54F3E3A291EB256966C5A75109D4A4B9CE868B	CONTROL_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/equipment_passport/core.json
056	STATIC	173C	1736	448412108B7E1911263DF7D730B8DA28C80F07619BDB9B49943C53B7449077FD	CONTROL_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/validation_standing/core.json
057	STATIC	173C	1728	F6E9EC951591F3DCCFA757B30D770AA55632A240FBAF5F3EBF08818B96A22A1E	CONTROL_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/measurement_integrity/core.json
058	STATIC	173C	1756	2C64575202DE6AD201D118573A270553C6EB022E2A5D421DCFDEF60D960FBC34	CONTROL_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/environmental_readiness/core.json
059	STATIC	173C	1783	7967654F7E97CED9C82FEEF3E6F9396DB63156AB0052BBC2151DE7D7B882150A	CONTROL_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/analytical_result_reliance/core.json
060	STATIC	173C	1739	1A8AA4F1938C7BCF5D2F007E7BA47D06DBB2DE3DB17E83D5E53D05A30DD0E3A9	CONTROL_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/maintenance_lifecycle/core.json
061	STATIC	173C	1722	253E55B5D9DA871ADB9DF5F40CC53270FDD5E0DFDF8F16FA7E44DADB67BDD9AD	CONTROL_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/cmdb_authority/core.json
062	STATIC	173C	1712	F1C367EF6AB2690FA3D5E5FCD71F1B130F7BD337719C826462A329BEDA6AA638	CONTROL_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/rlt_trust/core.json
063	STATIC	173C	1788	8BEC51D4053DEDFF1176BC5E7D4E599EA46C821E92E68F864A19D8D1FB3E88DD	CONTROL_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/migration_trust/core.json
064	STATIC	173C	1742	ECE96DC390B53A860FF4953D2F78EA9B90DBF86398891956F7C248F4905EF56D	CONTROL_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/inspection_reconstruction/core.json
065	STATIC	173C	1787	69787CE0D3F829F26833F716E0944AFC8517CBF8686997906B542E9AFC639685	CONTROL_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/regulated_equipment_reality_graph/core.json
066	STATIC	173C	1740	4648DE719E984DFD4A577B7DD4C9AA24B0432DC528B56944FD90937B43D586E3	CONTROL_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/power_cold_chain/core.json
067	STATIC	173C	892	A0F568FF0D41B68733E662749CE41B47F144D12D9E8FE760FD4369521E79B8E2	SANITIZED_SYSTEM_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/systems/validated_spreadsheet.json
068	STATIC	173C	830	B95DF5E85AF8306CE96BAC0FBDC40226CD0DE3DA0BCE587E6A8A4906FD59BF25	SANITIZED_SYSTEM_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/systems/pipette.json
069	STATIC	173C	862	CF3F2497F7A3B8B3679E6C2CB615E56A19CD21AEC714396E2C47DBD0477DEC63	SANITIZED_SYSTEM_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/systems/balance.json
070	STATIC	173C	891	FC9B0D8A8FF1B3C719A006AC6003C03EAC32C9696580E04A791E56390801E853	SANITIZED_SYSTEM_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/systems/laura_migration.json
071	STATIC	173C	836	07498CCC281DC3B4ABA39C46F9742326ABB6DABD967A9682279BF121C3B5CFF2	SANITIZED_SYSTEM_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/systems/lasair_particle_monitoring.json
072	STATIC	173C	855	528EB59A58A51C487AF9E0803004A140C4D3A3BE8CE229396433CC0B4E72F675	SANITIZED_SYSTEM_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/systems/viewlinc_environmental_monitoring.json
073	STATIC	173C	871	DD0744ED7FB92F1D8383AF8D2CBD51AC1D1DB5DD764A5839A3065FA40E49232D	SANITIZED_SYSTEM_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/systems/niagara_building_management.json
074	STATIC	173C	852	BD0BC0D3D8348B9E357754A98D85E6AD346F51312353D5B30DF408A3FF43F76A	SANITIZED_SYSTEM_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/systems/qtegra_analytical_result.json
075	STATIC	173C	856	0754D0FD1FE72F45E0CBF799E71D956E70E9ADFB5028236BF96BA2299501A248	SANITIZED_SYSTEM_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/systems/chromeleon_analytical_result.json
076	STATIC	173C	853	B281E8D440C15FC23CD5721586FA15E3F159407E1B91642D2A22AF2F75BA3DA9	SANITIZED_SYSTEM_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/systems/empower_analytical_result.json
077	STATIC	173C	855	2E5233615E13878AE807C0B9F13EE656C7B3281326F312D9EC564E1FDC486837	SANITIZED_SYSTEM_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/systems/endotoxin_analytical_result.json
078	STATIC	173C	880	597F621A9B76DF014B09247B5A473CFBDF525A1A114385FBFDE5D646ABE1847C	SANITIZED_SYSTEM_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/systems/sepha_ccit.json
079	STATIC	173C	839	647D3AC279ECFEA68EA3D04E9AB963DDC8A0DA20D15821F15AB17CBF174687BB	SANITIZED_SYSTEM_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/systems/cmms_maintenance.json
080	STATIC	173C	843	39352B08AD0C644C43B342E0C32BB47D9CC14DDF34C1ED0E1C4EDF8C92B8C3E3	SANITIZED_SYSTEM_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/systems/cmdb_authority.json
081	STATIC	173C	854	61662E00D57D7DF9D2DB4054CFFE43CB0321F2E7C97F8FD001F55F2D0BF36882	SANITIZED_SYSTEM_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/systems/power_ats_generator_ups.json
082	STATIC	173C	822	1991F281AF9F2B03C2E54842C2FC5F4B18407A9AD6C323DBFE2D50A0935C03BD	SANITIZED_SYSTEM_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/systems/cold_chain.json
083	STATIC	173C	920	94CDD64DD80F82189C5FF7941459D4D398634733605719818CB6D4A5312E24D5	SANITIZED_SYSTEM_PATTERN	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/patterns/systems/generic_lab_equipment.json
084	STATIC	173C	614	8A4565745BC60006C110FFE9C7F67FE307B4D030A8B7054FC6CBEE8DC4834736	DISPLAY_STATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/ramat_display_states/allow.json
085	STATIC	173C	644	62A6AB7676C99CF2A11756ABDE6BEC244D1C0ADC2DF4F07297EE93FF4C3664D6	DISPLAY_STATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/ramat_display_states/hold.json
086	STATIC	173C	655	96AF4C2137641B616AF898FEA294C452CA610BB02F3972CA69DB437EC8169B82	DISPLAY_STATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/ramat_display_states/no_bind.json
087	STATIC	173C	619	07CCCC2CDFE7C09875B4753254E1C850DF54BF31AF06AF73E4F4435B4115803A	DISPLAY_STATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/ramat_display_states/deny.json
088	STATIC	173C	626	47E41BBDF32D5712364A2E098B04DF8EA15A98E36E679A997F27023CA285BC42	DISPLAY_STATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/ramat_display_states/fail_closed.json
089	STATIC	173C	682	1F4B58826B3D4AEC8AEB7DA9A0FEEC00AAE2C91C374150A7D86B59736912BDA0	DISPLAY_STATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/ramat_display_states/validation_current.json
090	STATIC	173C	669	F4CED7AEAE337ABF6069D39085D57C2CAC9D3D8F58CA77FF41D814EAA4DFA963	DISPLAY_STATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/ramat_display_states/validation_drift.json
091	STATIC	173C	671	F321218A0C1768F0D51085F7E4E3B5B9492CFE6C5561138C3A5E6CEB1FB0BB89	DISPLAY_STATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/ramat_display_states/validation_uncertain.json
092	STATIC	173C	672	D0138AD24ED3CC8B0DC10644773BA95925C98259F05BD4D17C054729F7D85AD7	DISPLAY_STATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/ramat_display_states/revalidation_required.json
093	STATIC	173C	658	972EC7777F96D262AE4901E9E586139CB2675869339BC22F6C993AC3EB6555EA	DISPLAY_STATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/ramat_display_states/context_changed.json
094	STATIC	173C	660	3C77C5E2C841C3EB8D498509E6A65B0B3C20469D252ACB511917DA4FFD205C53	DISPLAY_STATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/ramat_display_states/dependency_mismatch.json
095	STATIC	173C	668	0D7A4FEEFAEB3F4D485D9EF7A5E8F0626F9A671006E78A80023D21E49D21C183	DISPLAY_STATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/ramat_display_states/evidence_expired.json
096	STATIC	173C	684	3E5B45E1EE88DA845D901D871255B24896B4B2AC72CE187504334F188E65B2F1	DISPLAY_STATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/ramat_display_states/authority_unavailable.json
097	STATIC	173C	668	0DBD0A92276D07465B04050AAC4E8F55DBAC1611BD0F73EC2557A2FCF5FE2C52	DISPLAY_STATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/ramat_display_states/human_judgment_required.json
098	STATIC	173C	707	2EF8E7F9E6594DECABA3D11C24A57EB7A724EFF3E40C7CAB76D35943C17FB707	DISPLAY_STATE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/ramat_display_states/independent_reconstruction_available.json
099	STATIC	173C	516	04847C8A5371D0B28521248375320701B96330DD03E965CB78B15BD80F623E1A	SYNTHETIC_SCENARIO	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/scenarios/scenario_01_validated_spreadsheet_assurance.json
100	STATIC	173C	487	DF13C2196FA630EC6D53DADDCD311DED722B59AE8AB11585BCFA447228866547	SYNTHETIC_SCENARIO	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/scenarios/scenario_02_pipette_measurement_integrity.json
101	STATIC	173C	467	4B459851905F84151CE1E7BB209D511FA1677F0AD284D01F9F6F00EE630AB0AA	SYNTHETIC_SCENARIO	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/scenarios/scenario_03_pipette_verification_missing.json
102	STATIC	173C	518	EEF7A2E3B97CBEAC0F281B6863ED894D98E56B9CF257ADFE7DDD6314B3590446	SYNTHETIC_SCENARIO	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/scenarios/scenario_04_balance_day_of_use_assurance.json
103	STATIC	173C	436	17B3AF022DEA100D9EB898C8622466B98646CF9196AC28A992CCA96B0882CA1F	SYNTHETIC_SCENARIO	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/scenarios/scenario_05_balance_requalification_required.json
104	STATIC	173C	442	C3AE1C203AAFC371C5AA85CBE17CC180FA959370877DD97E684AE1FD680C49AC	SYNTHETIC_SCENARIO	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/scenarios/scenario_06_environmental_readiness.json
105	STATIC	173C	434	8BCAA4243339D743F741670E724622A9229C2FF74A17719F0A8FC7C61C4A21EF	SYNTHETIC_SCENARIO	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/scenarios/scenario_07_environmental_excursion.json
106	STATIC	173C	545	60D84BF8AB649309940B0C77E7AECE251E9645E131EC874897E2E4C22AF5136E	SYNTHETIC_SCENARIO	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/scenarios/scenario_08_analytical_result_reliance.json
