SEQUENCE	CLASS	PHASE	BYTE_LENGTH	SHA-256	ROLE	RELATIVE_PATH	STATUS
172	GENERATED	173D	2645	3863A5B23FA147AB5F898C50F2BB8C74338997A44C4C2264CE3027F28268D401	GENERATED_SCENARIO_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/scenarios/scenario_12_ramat_vision_display_only.result.json	SEALED
173	GENERATED	173D	375	75C02C89B6D9120D937089AD84B29C099B01A93CE7A26C9BD0AF55BBD4ED60C8	GENERATED_ACCEPTANCE_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/acceptance/ac_01.result.json	SEALED
174	GENERATED	173D	401	AE60A952214D206C0EACD43A285B0AB0F8380CEDCC2F8E371C5BA212C36DCBB5	GENERATED_ACCEPTANCE_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/acceptance/ac_02.result.json	SEALED
175	GENERATED	173D	337	61F5425705F001D573971625ABEDD231AFA0A3D009EA0A3358A6A50972B54E39	GENERATED_ACCEPTANCE_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/acceptance/ac_03.result.json	SEALED
176	GENERATED	173D	332	2C011BBA817090A1E8065025D24ED7FF68068847B62E622972DE338A99C3FB02	GENERATED_ACCEPTANCE_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/acceptance/ac_04.result.json	SEALED
177	GENERATED	173D	343	35407B1906027105567B1F8AD6E617FD802EEBFD3625A4FDECE677968BA04E0F	GENERATED_ACCEPTANCE_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/acceptance/ac_05.result.json	SEALED
178	GENERATED	173D	342	4E98D29AC61574B0D6C0CFE7E71743C40F7549C7A1DD757436A45E38AB76F2C5	GENERATED_ACCEPTANCE_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/acceptance/ac_06.result.json	SEALED
179	GENERATED	173D	334	A8167F2A7E95DAF6AA0EBFCDD3A8189DFED2FDF21535A4EACA2FAEE012E9253E	GENERATED_ACCEPTANCE_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/acceptance/ac_07.result.json	SEALED
180	GENERATED	173D	336	255E4A5DF3C8C163602EB4EF5ECC6CD5FAE706C8F4F53FBD8DBE7876D5C41163	GENERATED_ACCEPTANCE_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/acceptance/ac_08.result.json	SEALED
181	GENERATED	173D	329	7B8D3D8D9BE9C132975F631BF90D317FCD32292A13C4ECA0EC7D8898A39F5D8F	GENERATED_ACCEPTANCE_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/acceptance/ac_09.result.json	SEALED
182	GENERATED	173D	342	2085FF9B2378A9DBD434BD1D9F298BAE6BDD67CA1BEC6576276F7D91A21A6105	GENERATED_ACCEPTANCE_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/acceptance/ac_10.result.json	SEALED
183	GENERATED	173D	330	63E9C2F23733B8C2567B6049A2F2D1C901E65751B1B1B03DE651C47F2D924939	GENERATED_ACCEPTANCE_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/acceptance/ac_11.result.json	SEALED
184	GENERATED	173D	332	54B306A04C6C9F9C1F1F35A5A7DF52928EAB34E11C882C1D56A106D0BBC82BB0	GENERATED_ACCEPTANCE_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/acceptance/ac_12.result.json	SEALED
185	GENERATED	173D	335	662CCD438F8B2369CEB1B82FA484F54674D56F178E00A966E06BBCCAF6444277	GENERATED_ACCEPTANCE_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/acceptance/ac_13.result.json	SEALED
186	GENERATED	173D	338	200050EFE59546E15E692BCE827AF7ACCFAFEF40EE9F9455AC06650A5362BFD8	GENERATED_ACCEPTANCE_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/acceptance/ac_14.result.json	SEALED
187	GENERATED	173D	325	9613D9B211EB63FFF7D3D1BBCBDCBCD4A63FD14CB63C61084B5D8DD8C8416543	GENERATED_ACCEPTANCE_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/acceptance/ac_15.result.json	SEALED
188	GENERATED	173D	338	A57B3B8C76636CA888F1AE5E9F116A05ACF524584561D2F26DA9427EDC1F2661	GENERATED_ACCEPTANCE_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/acceptance/ac_16.result.json	SEALED
189	GENERATED	173D	352	F24631FE63849031B8B7FCF94B7749DE7A6F3D3F40F7F2908C1BCE05FBF6F1F3	GENERATED_ACCEPTANCE_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/acceptance/ac_17.result.json	SEALED
190	GENERATED	173D	352	13B0B7CE6A0FEBA5C7AB6808FD935B78EEF3ABA35571C7EFA96FD24D5D7DB72C	GENERATED_ACCEPTANCE_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/acceptance/ac_18.result.json	SEALED
191	GENERATED	173D	355	EFC30AF4132E8E91541EBF11B20AF10F2883887CA92DF2ADFF3071277442CC0E	GENERATED_ACCEPTANCE_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/acceptance/ac_19.result.json	SEALED
192	GENERATED	173D	357	89E3EBBF9D0F54624784A812E4A3BE3D776E33EB7FFC6BF9A39A189232476DCB	GENERATED_ACCEPTANCE_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/acceptance/ac_20.result.json	SEALED
193	GENERATED	173D	322	0ED4DDF9C35A63A0564DF3B8EA99A86ABD9BEA26F785DA13535AD38D7EA37300	GENERATED_TAMPER_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/tamper/tamper_01_unauthorized_outcome.result.json	SEALED
194	GENERATED	173D	409	25FAFA2BB1EBDE9CEDDE7A5BCC7B6A28591ADC3D81A75431A441B9205B4EAB6F	GENERATED_TAMPER_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/tamper/tamper_02_decision_precedence_reorder.result.json	SEALED
195	GENERATED	173D	337	4265BC5F3AEB52745137F7F80A933EF43D57A2BC546F9FCF4A37CB7BF6D68C1C	GENERATED_TAMPER_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/tamper/tamper_03_ramat_writeback_attempt.result.json	SEALED
196	GENERATED	173D	347	8500ADBFBCA440D1B146EF352C11462FDD72311C8050CBD27DA0429ECC92CD6B	GENERATED_TAMPER_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/tamper/tamper_04_silent_source_reconciliation.result.json	SEALED
197	GENERATED	173D	335	7EE462CC7EAC34016D3B4E04A3E402E934349F929A289374B4DD4CD55CA34893	GENERATED_TAMPER_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/tamper/tamper_05_missing_human_authority.result.json	SEALED
198	GENERATED	173D	355	A7DEB80D0E4A1D81E0A3659FEE7762C13617B2745E63062AEBCBB5DF6F867A8A	GENERATED_TAMPER_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/tamper/tamper_06_manifest_extra_path.result.json	SEALED
199	GENERATED	173D	383	838A88D90341C09C740088780C5C55A554D30198B66F04CE235403EF505A4FAB	GENERATED_TAMPER_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/tamper/tamper_07_prohibited_content_injection.result.json	SEALED
200	GENERATED	173D	388	BED073ABF163B1E32BA2DCFF02623FBE684CDB197D0F0C3BE8442B0663FD7BFF	GENERATED_TAMPER_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/tamper/tamper_08_checksum_mismatch.result.json	SEALED
201	GENERATED	173D	563	D4D4F2E63A61EC0DDE0DDEEB446D83C53588AB89BACCBA861AFC15F4D701E89B	GENERATED_RECOVERY_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/recovery/recovery_01_manifest_restore.result.json	SEALED
202	GENERATED	173D	555	89F9C5A56D5E8CC715308CF4212CD7D828D3CE01E1884DA16C443C7FDAC867EA	GENERATED_RECOVERY_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/recovery/recovery_02_schema_restore.result.json	SEALED
203	GENERATED	173D	548	BF675C4A60FA7FB99540A5F9AA45CC73BD7DA6E27CAA362E7773A8D2780A5E4B	GENERATED_RECOVERY_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/recovery/recovery_03_pattern_restore.result.json	SEALED
204	GENERATED	173D	579	C04241ADABD4F09CF109A088209D2E5811BCA605B48C70489C429F8B29CA25F5	GENERATED_RECOVERY_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/recovery/recovery_04_scenario_restore.result.json	SEALED
205	GENERATED	173D	581	793869F25C27C9279B1CBED386A5B0102BF57B53A99A436777CA4B7B035EE7C1	GENERATED_RECOVERY_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/recovery/recovery_05_evidence_template_restore.result.json	SEALED
206	GENERATED	173D	556	F552196B1AD1EB2DE6319088D6F4C38355129EE58360FF72CBB08F1863011BCA	GENERATED_RECOVERY_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/recovery/recovery_06_package_restore.result.json	SEALED
207	GENERATED	173D	361	D3FD48FED785AFA9E74585E6A4D0DDCDBFD293488F93F1A0442C28B2C482866E	GENERATED_DETERMINISM_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/determinism/determinism_01_manifest_order.result.json	SEALED
208	GENERATED	173D	363	037D5850E65F2555DB9A018B752A98D85658418FC71C99C282D6ECC63A5D1451	GENERATED_DETERMINISM_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/determinism/determinism_02_decision_outcome.result.json	SEALED
209	GENERATED	173D	366	2E6417E9FDBBFE57CEF13E4762766B8AE897CCF37D0E50A4DBE11ADA8F98F03E	GENERATED_DETERMINISM_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/determinism/determinism_03_scenario_evaluation.result.json	SEALED
210	GENERATED	173D	360	F2C4608B1EA7FE1BA084B445CD2327FEB21821E59B4432526EF59CB8A0D06311	GENERATED_DETERMINISM_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/determinism/determinism_04_display_state.result.json	SEALED
211	GENERATED	173D	356	8098E46BCFFD964051AE4EBEA18B9FCBA15EB96E539CBCD80A3FD89C5097C252	GENERATED_DETERMINISM_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/determinism/determinism_05_blob_hash.result.json	SEALED
212	GENERATED	173D	359	25F876803F0CF8D4095D321383A3ABBE581106B56D31148099EAAD1A9B12230B	GENERATED_DETERMINISM_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/determinism/determinism_06_package_hash.result.json	SEALED
214	GENERATED	173D	36900	BA35C4F1B68A968C8B0B662C6043671396DFCC614169D904703B567A248BEE5E	GENERATED_FINAL_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/final/static_file_ledger.tsv	SEALED
216	GENERATED	173D	4124	FD40CBFB58CE07CF86F66A2BDC8AE953751E6E080635C70A2D080601C4E12E50	GENERATED_FINAL_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/final/scenario_summary.json	SEALED
217	GENERATED	173D	2862	0A5E45BE6D6E814ECC54BF0C8B55354B46A159F14152D56AD0D2AF42F29384FA	GENERATED_FINAL_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/final/acceptance_summary.json	SEALED
218	GENERATED	173D	643	29C49E8E046757ABF89D91B3F37CF6438CEAB5D027F55893C74C07D25BE7B077	GENERATED_FINAL_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/final/security_boundary_report.json	SEALED
219	GENERATED	173D	NA	NA	GENERATED_FINAL_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/final/complete_evidence_checksums.tsv	CONTROLLED_SELF_OR_FUTURE_ENTRY
220	GENERATED	173D	NA	NA	GENERATED_FINAL_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/final/complete_evidence_package.sha256	CONTROLLED_SELF_OR_FUTURE_ENTRY
213	GENERATED	173D	NA	NA	GENERATED_FINAL_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/final/complete_file_ledger.tsv	CONTROLLED_SELF_OR_FUTURE_ENTRY
215	GENERATED	173D	NA	NA	GENERATED_FINAL_EVIDENCE	platform_b1_mvp2/assurance_os/implementation/step_173_labtrust_ramat_gxp_control_patterns/evidence/final/generated_file_ledger.tsv	CONTROLLED_SELF_OR_FUTURE_ENTRY
