"ComponentId","ComponentName","ComponentCategory","Purpose","RequiredFields","ValidationRule","FailureState","PrimaryOwnerLayer","Examples","GovernanceAuthorityBoundary","SourceOfTruthRule","HumanAccountabilityRule","DisplayBoundary","SilenceRule","DataBoundary","Step156Dependency","MaturityStatement","ReviewStatus"
"EAG-011","Authority Delegation Record","DELEGATION","Records a governed delegation from one authorized actor or role to another for a defined action, object scope, and validity period.","delegation_id; delegating_actor_id; delegated_actor_id; delegated_role_id; allowed_action_types; object_scope; valid_from_utc; valid_to_utc; revocation_state; delegation_status; evidence_id","Delegation must originate from an actor permitted to delegate and must remain within the original authority scope and validity period.","DELEGATION_INVALID_OR_OUT_OF_SCOPE","HUMAN GOVERNANCE / PLATFORM B1","Temporary quality approver, alternate clinical reviewer, delegated pharmacist, backup incident commander, or limited emergency authority.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 must distinguish original authority from delegated authority.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
"EAG-012","Approver Availability State","APPROVER STATE","Records whether the required accountable approver is available, reachable, eligible, and able to act within the required time window.","approver_state_id; action_id; required_actor_or_role_id; approver_available; eligibility_state; contact_state; response_due_at_utc; last_contact_at_utc; state","Approver availability must be explicit. No response, missed notification, or silent status must not be treated as approval.","APPROVER_UNAVAILABLE","PLATFORM B1 / MVP2","Quality approver offline, pharmacist unavailable, clinical reviewer absent, release authority unreachable, or incident approver not responding.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 must evaluate approver_available before binding actions.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
"EAG-013","Escalation Route Record","ESCALATION","Defines the governed route for escalation when authority is absent, an approver is unavailable, evidence is insufficient, or timing is at risk.","escalation_route_id; action_id; trigger_conditions; escalation_level; target_actor_or_role_id; response_window; fallback_route_id; escalation_available; route_status","An escalation route must identify trigger conditions, accountable recipient, response window, fallback route, availability, and current status.","ESCALATION_UNAVAILABLE_OR_INCOMPLETE","PLATFORM A / HUMAN GOVERNANCE","Quality escalation, medical escalation, pharmacy escalation, incident escalation, security escalation, executive escalation, or regulatory escalation.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 must evaluate escalation_available and escalation requirements.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
"EAG-014","Pre-Authorized Rule Record","PRE-AUTHORIZATION","Defines a narrowly scoped, previously approved rule allowing a specified action under defined evidence, timing, consequence, and accountability conditions.","rule_id; rule_name; allowed_action_types; object_scope; evidence_requirements; consequence_limit; timing_conditions; accountable_role_id; approved_by_actor_id; valid_from_utc; valid_to_utc; rule_status","A pre-authorized rule must be explicit, current, approved, limited in scope, compatible with the action consequence, and linked to accountable human authority.","PRE_AUTHORIZED_RULE_ABSENT_OR_INVALID","HUMAN GOVERNANCE / PLATFORM B1","Approved automated alert routing, predefined low-risk workflow continuation, validated emergency response, or bounded agent action.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 must evaluate pre_authorized_rule_exists without treating absence of objection as pre-authorization.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
"EAG-015","Timing Validity Record","TIMING","Evaluates whether evidence, authority, approval, object state, and the proposed action remain valid within the required execution window.","timing_record_id; action_id; evaluation_time_utc; required_start_utc; required_end_utc; authority_valid_at_utc; evidence_current_at_utc; object_state_valid_at_utc; timing_valid; rationale","Timing is valid only when the action, evidence, authority, object state, and required approvals are current within the declared execution window.","TIMING_INVALID_OR_EXPIRED","PLATFORM B1 / MVP2","Radiopharmaceutical decay window, approval expiry, batch-release window, clinical treatment window, shipment window, or emergency-response window.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 must evaluate timing_valid for time-critical lifecycle actions.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
"EAG-016","Human Accountability Assignment","ACCOUNTABILITY","Identifies the qualified human or authorized organizational role accountable for reviewing, approving, escalating, rejecting, or binding the action.","accountability_id; action_id; object_id; accountable_actor_id; accountable_role_id; responsibility_type; assigned_at_utc; accepted_at_utc; accountability_current; status","High or critical consequence actions must not be admissible without an identifiable, current, qualified, and accountable human or authorized role.","HUMAN_ACCOUNTABILITY_NOT_IDENTIFIED","HUMAN GOVERNANCE / PLATFORM B1","Quality releaser, clinician, pharmacist, investigator, process owner, security authority, financial approver, or regulatory signatory.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 must evaluate human_accountability_identified.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
"EAG-017","Binding Sufficiency Evaluation","BINDING EVALUATION","Evaluates whether an action has sufficient evidence, authority, timing, approver availability, escalation, pre-authorization, consequence controls, and human accountability to become admissible.","binding_evaluation_id; action_id; object_id; authority_present; authority_valid; authority_current; authority_delegated; approver_available; escalation_available; pre_authorized_rule_exists; evidence_sufficient; timing_valid; action_consequence_level; human_accountability_identified; identity_hold_active; dependency_hold_active; decision_state; rationale; evaluated_at_utc","Unknown, missing, false, expired, conflicted, or unresolved required states must not be treated as satisfied. Critical and high-consequence actions require positive evidence of sufficient authority, evidence, timing, and accountability.","BINDING_REQUIREMENTS_INSUFFICIENT","PLATFORM B1 / MVP2","Batch release evaluation, clinical action evaluation, AI-agent action evaluation, pharmacy release evaluation, submission sign-off, or payment authorization.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 must demonstrate the full binding-sufficiency decision model.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
"EAG-018","No-Bind Governance State Record","NO-BIND GOVERNANCE","Creates an explicit governed hold when evidence, identity, dependency, authority, approver, escalation, timing, or accountability is insufficient.","no_bind_id; action_id; object_id; reason_codes; authority_state; evidence_state; identity_state; dependency_state; approver_state; escalation_state; timing_state; accountability_state; activated_at_utc; activated_by; no_bind_state; resolution_required","No-Bind must activate when binding requirements are insufficient. Silence, missed alerts, unavailable approvers, delayed review, or absent objection must not permit an action to proceed by default.","NO_BIND_STATE_ACTIVE","PLATFORM B1 / MVP2","Authority absent, approver unavailable, evidence insufficient, identity conflict, dependency mismatch, timing expired, or human accountability missing.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 must demonstrate No-Bind activation and governed resolution.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
"EAG-019","Documented Pause Record","GOVERNED PAUSE","Records a deliberate, attributable pause created because a proposed action cannot safely or lawfully bind.","pause_id; no_bind_id; action_id; object_id; pause_reason; paused_at_utc; paused_by_actor_id; required_resolution_actions; escalation_route_id; resume_conditions; pause_status","A pause must identify the held action, affected object, accountable actor, reason, required resolution, escalation route, and conditions for resumption.","DOCUMENTED_PAUSE_REQUIRED","PLATFORM B1 / HUMAN GOVERNANCE","Release paused, AI action paused, dispensing paused, submission paused, transfer paused, payment paused, or clinical action paused.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 must show DOCUMENTED PAUSE CREATED when No-Bind is active.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
"EAG-020","No-Bind Resolution Record","NO-BIND RESOLUTION","Records the governed evidence, authority, escalation, review, correction, or decision that resolves or confirms an active No-Bind state.","resolution_id; no_bind_id; resolution_type; resolution_evidence_ids; resolved_by_actor_id; resolved_at_utc; authority_revalidated; evidence_reassessed; identity_reverified; dependency_reassessed; resolution_result; rationale","No-Bind may be resolved only through explicit governed evidence and authorized human or approved rule-based resolution. Silence cannot resolve it.","NO_BIND_RESOLUTION_INVALID","HUMAN GOVERNANCE / PLATFORM B1","New qualified approver assigned, missing evidence supplied, identity corrected, dependency restored, valid escalation completed, or action permanently rejected.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 must distinguish No-Bind resolution from unauthorized bypass.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
"EAG-021","Action Admissibility Record","ADMISSIBILITY","Records whether a proposed action is admissible, inadmissible, held, or escalated based on the binding sufficiency evaluation.","admissibility_id; action_id; object_id; binding_evaluation_id; no_bind_id; admissibility_state; rationale; decided_at_utc; decided_by; source_execution_required","Admissibility is not execution. An admissible state only indicates that governed preconditions are satisfied subject to authorized source-system execution.","ACTION_INADMISSIBLE_OR_HELD","PLATFORM B v1 / PLATFORM B1","Admissible for human release, held pending evidence, escalated for authority, or rejected because required controls remain unsatisfied.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 must distinguish action admissibility from actual execution.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
"EAG-022","Binding Decision and Source Execution Reference","BINDING DECISION","Records the authorized human or governed source-system decision and, when applicable, the official source-system execution reference.","binding_decision_id; action_id; object_id; admissibility_id; authorized_actor_id; authorized_role_id; decision; decided_at_utc; source_system_id; source_execution_record_id; execution_state; rationale","A binding decision must identify the authorized actor and role. Execution must be confirmed through the governed source-system record.","BINDING_DECISION_OR_SOURCE_EXECUTION_UNCONFIRMED","HUMAN AUTHORITY / GOVERNED SOURCE SYSTEM","Quality release recorded in eQMS or MES, pharmacist release, clinician action, submission sign-off, financial approval, or source-system rejection.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 must preserve the distinction between Platform evaluation, human binding decision, and official source-system execution.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
"EAG-023","Governance Display State Contract","DISPLAY CONTRACT","Defines the limited governance states that Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, or device witnesses may display.","display_contract_id; action_id; object_id; admissibility_id; no_bind_id; allowed_display_states; prohibited_controls; generated_at_utc; expires_at_utc; redaction_rule; display_status","The display contract must be DISPLAY / WITNESS ONLY and must not expose an approval, release, override, resolution, or execution control.","DISPLAY_CONTRACT_OVERPERMISSIVE","THREAD D / THREAD D2","AUTHORITY ABSENT, NO-BIND STATE ACTIVE, ACTION HELD, ESCALATION REQUIRED, DOCUMENTED PAUSE CREATED, APPROVER UNAVAILABLE, HUMAN AUTHORITY REQUIRED, or ACTION ADMISSIBLE.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 RAMAT Vision views must consume display contracts only.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
"EAG-024","Governance Reconstruction Package","RECONSTRUCTION","Assembles the chronology of evidence, identity, authority, delegation, approver state, escalation, timing, accountability, No-Bind, admissibility, binding decision, and source execution.","reconstruction_id; action_id; object_id; scope_start_utc; scope_end_utc; evidence_ids; authority_ids; accountability_ids; no_bind_ids; admissibility_ids; binding_decision_ids; source_execution_references; generated_at_utc; generated_by_actor_id","The reconstruction must preserve chronology, provenance, integrity status, source references, unresolved gaps, human accountability, and decision rationale.","GOVERNANCE_RECONSTRUCTION_INCOMPLETE","PLATFORM B1 / MVP2","Regulatory inspection, audit, deviation review, AI-agent investigation, batch-release reconstruction, clinical decision review, or recall review.","This schema supports evidence, authority, accountability, No-Bind, and action-admissibility evaluation. It does not independently approve, release, override, execute, or bind regulated or critical actions.","Official records and executed actions remain in governed source systems. The schema stores governed references, integrity values, evaluations, holds, decisions, and reconstruction links without replacing the official source record.","Qualified humans and authorized organizational roles remain accountable for binding decisions, approvals, releases, overrides, escalations, and execution authority.","Thread D, Thread D2, RAMAT Vision, glasses, wearables, dashboards, and device witnesses may display or witness evaluated governance state but may not approve, release, override, resolve, execute, or create binding authority.","Silence, missed alerts, delayed review, absent objection, unavailable approvers, or a silent dashboard must not be interpreted as consent.","Schema-only, simulator-first, mock-data-first, and local-validation-first. No PHI, company production data, classified data, payment-card data, or real regulated production integration is authorized by this step.","AURORA-17 must provide an end-to-end molecule-to-market governance reconstruction.","Schema registration is not runtime implementation, production readiness, regulatory validation, certification, operational release, or permission to execute regulated work.","HUMAN GOVERNANCE-SCHEMA REVIEW REQUIRED"
