checklist_id,test_case_id,system_key,system_name,evidence_item,evidence_type,evidence_status,required_for_execution,capture_instruction,acceptable_format,reviewer_note,not_allowed_content,evidence_route,last_checked,checklist_hash
ST-EVID-0C6CAA779601,ST-TEST-450EECB524D6,azure-blob,Azure Blob Storage,Evidence Package Summary,Checklist,YELLOW,YES,Confirm all required evidence items are present for this test case.,Checklist row / CSV export,Used to decide whether the test is execution-ready.,No evidence package built from production extracts unless separately approved.,/sterile-compounding/poc-evidence-checklist,2026-05-12 23:01:46 UTC,a75c6cea0fe573078c953e160918d34eddc668534351acff2eb74e30f92a5018
ST-EVID-3A4B9C232A3B,ST-TEST-8F9AAA26C587,azure-confidential-ledger,Azure Confidential Ledger,Route Screenshot,Screenshot,GREEN,YES,Capture screenshot of the sterile planning route that supports the test.,PNG/JPG/PDF screenshot,Use sterile-only page evidence. Do not capture protected production system screens.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",/sterile-compounding/nonprod-poc-plan/azure-confidential-ledger,2026-05-12 23:01:46 UTC,4cee1b94f88194a2f264ec5d86905d29acccdde2c9e1a2d44b36d63f6045ec78
ST-EVID-70BBD7B7CA9D,ST-TEST-8F9AAA26C587,azure-confidential-ledger,Azure Confidential Ledger,CSV Export,CSV,GREEN,YES,Export the relevant sterile register used by the test.,CSV export from sterile route,CSV should come from sterile module export route only.,No uncontrolled export from enterprise source systems.,/sterile-compounding/nonprod-poc-plan/azure-confidential-ledger,2026-05-12 23:01:46 UTC,edebba568debe048c466ff289dec198c384eb30450888e295108ffcf9bc0dc5a
ST-EVID-229EE3B460E8,ST-TEST-8F9AAA26C587,azure-confidential-ledger,Azure Confidential Ledger,Boundary Confirmation,Governance Note,GREEN,YES,"Confirm that no API call, credential, production data, or writeback was used.",Text note or review comment,This is required for every non-production connector test.,No real connector activation.,/sterile-compounding/nonprod-poc-plan,2026-05-12 23:01:46 UTC,f9481dc47bfc5961f6bd1807bdc5a4ec1b909f1eb7e6a0d28d5227d041f15837
ST-EVID-D78BFCF1190E,ST-TEST-35B244092250,azure-confidential-ledger,Azure Confidential Ledger,Route Screenshot,Screenshot,YELLOW,YES,Capture screenshot of the sterile planning route that supports the test.,PNG/JPG/PDF screenshot,Use sterile-only page evidence. Do not capture protected production system screens.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",/sterile-compounding/data-contracts/azure-confidential-ledger,2026-05-12 23:01:46 UTC,a3c1c199825b3e4d74cb55b21e8f7be1c83ecf7a72ec3a62aff697c629d434b2
ST-EVID-089D1153E54E,ST-TEST-35B244092250,azure-confidential-ledger,Azure Confidential Ledger,CSV Export,CSV,YELLOW,YES,Export the relevant sterile register used by the test.,CSV export from sterile route,CSV should come from sterile module export route only.,No uncontrolled export from enterprise source systems.,/sterile-compounding/data-contracts/azure-confidential-ledger,2026-05-12 23:01:46 UTC,60e2fc7702dc7dd0e8722e1516eaa8640f365a30af55be09683dfde142c10b31
ST-EVID-ED84A5305907,ST-TEST-35B244092250,azure-confidential-ledger,Azure Confidential Ledger,Boundary Confirmation,Governance Note,YELLOW,YES,"Confirm that no API call, credential, production data, or writeback was used.",Text note or review comment,This is required for every non-production connector test.,No real connector activation.,/sterile-compounding/nonprod-poc-plan,2026-05-12 23:01:46 UTC,52f419cf542865cd43188422693b862a8a67228ccfc032ce34293e55fe3104d2
ST-EVID-4396E78AE2F7,ST-TEST-35B244092250,azure-confidential-ledger,Azure Confidential Ledger,Data Contract Evidence,Register Export,YELLOW,YES,Export or screenshot the data contract and field mapping pages for this system.,CSV/screenshot,"Shows keys, fields, source-of-truth boundary, and no-writeback rule.",No live data pull.,/sterile-compounding/data-contracts/azure-confidential-ledger,2026-05-12 23:01:46 UTC,515a72e052a6f5b87de9d51e158e0183a3d8a911239cfbb832edfa42ca16c7eb
ST-EVID-92DF3D6099A3,ST-TEST-ECB42676DC4C,azure-confidential-ledger,Azure Confidential Ledger,Route Screenshot,Screenshot,YELLOW,YES,Capture screenshot of the sterile planning route that supports the test.,PNG/JPG/PDF screenshot,Use sterile-only page evidence. Do not capture protected production system screens.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",/sterile-compounding/mock-ingestion-lab/azure-confidential-ledger,2026-05-12 23:01:46 UTC,3eb2a3246c914168cb2870a768edc18dc169ff9dd71436b3050e985de9edd837
ST-EVID-678E5818C555,ST-TEST-ECB42676DC4C,azure-confidential-ledger,Azure Confidential Ledger,CSV Export,CSV,YELLOW,YES,Export the relevant sterile register used by the test.,CSV export from sterile route,CSV should come from sterile module export route only.,No uncontrolled export from enterprise source systems.,/sterile-compounding/mock-ingestion-lab/azure-confidential-ledger,2026-05-12 23:01:46 UTC,39711e0b0a3d1787aadc50d9a04ad629bb958095b39365afaff8db73bf05b942
ST-EVID-5BC1EA987A5A,ST-TEST-ECB42676DC4C,azure-confidential-ledger,Azure Confidential Ledger,Boundary Confirmation,Governance Note,YELLOW,YES,"Confirm that no API call, credential, production data, or writeback was used.",Text note or review comment,This is required for every non-production connector test.,No real connector activation.,/sterile-compounding/nonprod-poc-plan,2026-05-12 23:01:46 UTC,caff4f2a6a16d96b2b4beb263f0ce15dc1c600124988483fab9952d514b94c84
ST-EVID-D47B28202BED,ST-TEST-ECB42676DC4C,azure-confidential-ledger,Azure Confidential Ledger,Mock Payload Evidence,Mock Register,YELLOW,YES,Capture mock ingestion payload shape and quality gate for this system.,CSV/screenshot,Shows readiness without connecting to the source system.,No external API request.,/sterile-compounding/mock-ingestion-lab/azure-confidential-ledger,2026-05-12 23:01:46 UTC,b7fd75cbd410a9ee2004f93cb0af9febbdb1bc9f1b2988ef649b237888a98a77
ST-EVID-0B3D03B94BBF,ST-TEST-8C3E14E38F74,azure-confidential-ledger,Azure Confidential Ledger,Route Screenshot,Screenshot,YELLOW,YES,Capture screenshot of the sterile planning route that supports the test.,PNG/JPG/PDF screenshot,Use sterile-only page evidence. Do not capture protected production system screens.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",/sterile-compounding/connector-approval-board/azure-confidential-ledger,2026-05-12 23:01:46 UTC,392e718a2e5b772d3eb82a70277df9a549f9a4f2415daf3ae63a1877f76c1b7d
ST-EVID-114D66210D35,ST-TEST-8C3E14E38F74,azure-confidential-ledger,Azure Confidential Ledger,CSV Export,CSV,YELLOW,YES,Export the relevant sterile register used by the test.,CSV export from sterile route,CSV should come from sterile module export route only.,No uncontrolled export from enterprise source systems.,/sterile-compounding/connector-approval-board/azure-confidential-ledger,2026-05-12 23:01:46 UTC,cd961e084b214b49ee5c33834b45c7938b2d4358d85ed2d6ecb5a40dffc11782
ST-EVID-4CAA8C11FFFB,ST-TEST-8C3E14E38F74,azure-confidential-ledger,Azure Confidential Ledger,Boundary Confirmation,Governance Note,YELLOW,YES,"Confirm that no API call, credential, production data, or writeback was used.",Text note or review comment,This is required for every non-production connector test.,No real connector activation.,/sterile-compounding/nonprod-poc-plan,2026-05-12 23:01:46 UTC,88257e75111b94446033ee9fba76c3026f22a13cde1072b24d4fad3cd76bcdb6
ST-EVID-92252067843B,ST-TEST-8C3E14E38F74,azure-confidential-ledger,Azure Confidential Ledger,Approval Board Evidence,Approval Register,YELLOW,YES,Capture connector approval board row for this system.,CSV/screenshot,Shows approval gaps and not-allowed actions.,Do not treat this as formal enterprise approval.,/sterile-compounding/connector-approval-board/azure-confidential-ledger,2026-05-12 23:01:46 UTC,d28d51583f219564eb6129846efca055dd6531484fb49be3a8b3c203757a156f
ST-EVID-A174BBC7D09D,ST-TEST-74F646F52B98,azure-confidential-ledger,Azure Confidential Ledger,Route Screenshot,Screenshot,YELLOW,YES,Capture screenshot of the sterile planning route that supports the test.,PNG/JPG/PDF screenshot,Use sterile-only page evidence. Do not capture protected production system screens.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",/sterile-compounding/pre-integration-risk?system=azure-confidential-ledger,2026-05-12 23:01:46 UTC,93fa2cb7de99a8d645250427ddf809f5c5805eaa7b7dc646d3a7b15ec87c757c
ST-EVID-3838D9777958,ST-TEST-74F646F52B98,azure-confidential-ledger,Azure Confidential Ledger,CSV Export,CSV,YELLOW,YES,Export the relevant sterile register used by the test.,CSV export from sterile route,CSV should come from sterile module export route only.,No uncontrolled export from enterprise source systems.,/sterile-compounding/pre-integration-risk?system=azure-confidential-ledger,2026-05-12 23:01:46 UTC,330e7b0c3522d07829ef3aaebfb40b966dadf29fcba35dc755a1827d0f511c9b
ST-EVID-ABF187A0618E,ST-TEST-74F646F52B98,azure-confidential-ledger,Azure Confidential Ledger,Boundary Confirmation,Governance Note,YELLOW,YES,"Confirm that no API call, credential, production data, or writeback was used.",Text note or review comment,This is required for every non-production connector test.,No real connector activation.,/sterile-compounding/nonprod-poc-plan,2026-05-12 23:01:46 UTC,c3e9604ac54be2a19dc4ea344811712f76cb3d4a0f0c8e9f9e407b9dc53a6c1d
ST-EVID-97111EE55905,ST-TEST-74F646F52B98,azure-confidential-ledger,Azure Confidential Ledger,Failure Mode Evidence,Risk Register,YELLOW,YES,Capture pre-integration risk register and false-GREEN prevention rule.,CSV/screenshot,Shows missing/stale connector data cannot create false GREEN.,No silent pass when evidence is missing.,/sterile-compounding/pre-integration-risk?system=azure-confidential-ledger,2026-05-12 23:01:46 UTC,b73c6a3063c3e004744c900b6d496edb25902659625291e0243fa435d416bb97
ST-EVID-E6C8615C9114,ST-TEST-7530D7094DF0,azure-confidential-ledger,Azure Confidential Ledger,Route Screenshot,Screenshot,YELLOW,YES,Capture screenshot of the sterile planning route that supports the test.,PNG/JPG/PDF screenshot,Use sterile-only page evidence. Do not capture protected production system screens.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",/sterile-compounding/nonprod-poc-plan/azure-confidential-ledger,2026-05-12 23:01:46 UTC,288c6d32a9185a13e9743d60d4dcf5435645e932aa2d3ac394e72317a207c17e
ST-EVID-AEDC8040BDDC,ST-TEST-7530D7094DF0,azure-confidential-ledger,Azure Confidential Ledger,CSV Export,CSV,YELLOW,YES,Export the relevant sterile register used by the test.,CSV export from sterile route,CSV should come from sterile module export route only.,No uncontrolled export from enterprise source systems.,/sterile-compounding/nonprod-poc-plan/azure-confidential-ledger,2026-05-12 23:01:46 UTC,0a5484c47d35c2a2fd32bbd932b5b6c1a80dd048bd8c2c89affd6fe6a462e0a7
ST-EVID-6A3305E81906,ST-TEST-7530D7094DF0,azure-confidential-ledger,Azure Confidential Ledger,Boundary Confirmation,Governance Note,YELLOW,YES,"Confirm that no API call, credential, production data, or writeback was used.",Text note or review comment,This is required for every non-production connector test.,No real connector activation.,/sterile-compounding/nonprod-poc-plan,2026-05-12 23:01:46 UTC,68863ce443eb8136dda75559acac93b67c466d7cfd1e2413c9d073f6276de3e0
ST-EVID-1F10998F8122,ST-TEST-7530D7094DF0,azure-confidential-ledger,Azure Confidential Ledger,Evidence Package Summary,Checklist,YELLOW,YES,Confirm all required evidence items are present for this test case.,Checklist row / CSV export,Used to decide whether the test is execution-ready.,No evidence package built from production extracts unless separately approved.,/sterile-compounding/poc-evidence-checklist,2026-05-12 23:01:46 UTC,eb68890be3df150ba2d47becb667a0e885a571d0b6fcf4854a60712413e8871c
ST-EVID-D1B1E62EC3E4,ST-TEST-A192013CB3F6,blue-mountain,Blue Mountain RAM,Route Screenshot,Screenshot,GREEN,YES,Capture screenshot of the sterile planning route that supports the test.,PNG/JPG/PDF screenshot,Use sterile-only page evidence. Do not capture protected production system screens.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",/sterile-compounding/nonprod-poc-plan/blue-mountain,2026-05-12 23:01:46 UTC,d09f04044e1abacb2d60742b6c36dda0d258c43b9697859ffdd64e71b73e0760
ST-EVID-AE85D9CBFA00,ST-TEST-A192013CB3F6,blue-mountain,Blue Mountain RAM,CSV Export,CSV,GREEN,YES,Export the relevant sterile register used by the test.,CSV export from sterile route,CSV should come from sterile module export route only.,No uncontrolled export from enterprise source systems.,/sterile-compounding/nonprod-poc-plan/blue-mountain,2026-05-12 23:01:46 UTC,f3c1770a24439784baaf7406fca1d1d19302f10fde61878a8a16fce94526e311
ST-EVID-D0D6BC169E8D,ST-TEST-A192013CB3F6,blue-mountain,Blue Mountain RAM,Boundary Confirmation,Governance Note,GREEN,YES,"Confirm that no API call, credential, production data, or writeback was used.",Text note or review comment,This is required for every non-production connector test.,No real connector activation.,/sterile-compounding/nonprod-poc-plan,2026-05-12 23:01:46 UTC,c650f6d88a3b8bd40e6fe85716e965f0101963031f1a35a8ee47e0b0ce4cced1
ST-EVID-06A1C1299F17,ST-TEST-1CED9F2B6A9C,blue-mountain,Blue Mountain RAM,Route Screenshot,Screenshot,YELLOW,YES,Capture screenshot of the sterile planning route that supports the test.,PNG/JPG/PDF screenshot,Use sterile-only page evidence. Do not capture protected production system screens.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",/sterile-compounding/data-contracts/blue-mountain,2026-05-12 23:01:46 UTC,80314d1d49746cfa2b45fa7e82125da454eb136d599cffe82d4fe13c5400f66c
ST-EVID-DF394113CD0D,ST-TEST-1CED9F2B6A9C,blue-mountain,Blue Mountain RAM,CSV Export,CSV,YELLOW,YES,Export the relevant sterile register used by the test.,CSV export from sterile route,CSV should come from sterile module export route only.,No uncontrolled export from enterprise source systems.,/sterile-compounding/data-contracts/blue-mountain,2026-05-12 23:01:46 UTC,b9e1d97434878c12d6368581f75cc27adc9e62ccea0a6960336ed9c1537d49cb
ST-EVID-CF1AC68AE787,ST-TEST-1CED9F2B6A9C,blue-mountain,Blue Mountain RAM,Boundary Confirmation,Governance Note,YELLOW,YES,"Confirm that no API call, credential, production data, or writeback was used.",Text note or review comment,This is required for every non-production connector test.,No real connector activation.,/sterile-compounding/nonprod-poc-plan,2026-05-12 23:01:46 UTC,8130d29b644cd9c2bfeb3cdb3f083081729c3fc6eb315fec8dcdb9363026347e
ST-EVID-865C37A5C4CE,ST-TEST-1CED9F2B6A9C,blue-mountain,Blue Mountain RAM,Data Contract Evidence,Register Export,YELLOW,YES,Export or screenshot the data contract and field mapping pages for this system.,CSV/screenshot,"Shows keys, fields, source-of-truth boundary, and no-writeback rule.",No live data pull.,/sterile-compounding/data-contracts/blue-mountain,2026-05-12 23:01:46 UTC,2b64f835990e656a4ad70f7fd636177f3036cf9d21a6f8ab6d5ecd62d5fd766b
ST-EVID-0A77EA561219,ST-TEST-BDED21D7256D,blue-mountain,Blue Mountain RAM,Route Screenshot,Screenshot,YELLOW,YES,Capture screenshot of the sterile planning route that supports the test.,PNG/JPG/PDF screenshot,Use sterile-only page evidence. Do not capture protected production system screens.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",/sterile-compounding/mock-ingestion-lab/blue-mountain,2026-05-12 23:01:46 UTC,6576fb324d1babcfc95d91cf48052253aa30b743357ecf730251e8a8cf815329
ST-EVID-6F9CDD1696F9,ST-TEST-BDED21D7256D,blue-mountain,Blue Mountain RAM,CSV Export,CSV,YELLOW,YES,Export the relevant sterile register used by the test.,CSV export from sterile route,CSV should come from sterile module export route only.,No uncontrolled export from enterprise source systems.,/sterile-compounding/mock-ingestion-lab/blue-mountain,2026-05-12 23:01:46 UTC,fb692e7f64b1484bc331552c7c1e30cfe4af687f2d72261f1fdfc859e97147b2
ST-EVID-15B2BA180BEA,ST-TEST-BDED21D7256D,blue-mountain,Blue Mountain RAM,Boundary Confirmation,Governance Note,YELLOW,YES,"Confirm that no API call, credential, production data, or writeback was used.",Text note or review comment,This is required for every non-production connector test.,No real connector activation.,/sterile-compounding/nonprod-poc-plan,2026-05-12 23:01:46 UTC,032b40621357751052b95bbc82185d0abedefd554d3e18deceb96ff5aa3b9490
ST-EVID-9CEDD7C7AAED,ST-TEST-BDED21D7256D,blue-mountain,Blue Mountain RAM,Mock Payload Evidence,Mock Register,YELLOW,YES,Capture mock ingestion payload shape and quality gate for this system.,CSV/screenshot,Shows readiness without connecting to the source system.,No external API request.,/sterile-compounding/mock-ingestion-lab/blue-mountain,2026-05-12 23:01:46 UTC,1a388c348d976dd21193e234398003a4371a6e3b5e9aa14f88b63fb081fe8e17
ST-EVID-0C76DE1CE19D,ST-TEST-F2E3604D50D2,blue-mountain,Blue Mountain RAM,Route Screenshot,Screenshot,YELLOW,YES,Capture screenshot of the sterile planning route that supports the test.,PNG/JPG/PDF screenshot,Use sterile-only page evidence. Do not capture protected production system screens.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",/sterile-compounding/connector-approval-board/blue-mountain,2026-05-12 23:01:46 UTC,62d51f50101bbd10d01295e4e2e3564b6a73715ca98cd40cb87570899cb725d0
ST-EVID-4D420E1DE2DA,ST-TEST-F2E3604D50D2,blue-mountain,Blue Mountain RAM,CSV Export,CSV,YELLOW,YES,Export the relevant sterile register used by the test.,CSV export from sterile route,CSV should come from sterile module export route only.,No uncontrolled export from enterprise source systems.,/sterile-compounding/connector-approval-board/blue-mountain,2026-05-12 23:01:46 UTC,1b84cdb1612b4f82160e2570cdf51ad5ec31cd971ffef65817b56d9f6f42c8d3
ST-EVID-FFED4C907E06,ST-TEST-F2E3604D50D2,blue-mountain,Blue Mountain RAM,Boundary Confirmation,Governance Note,YELLOW,YES,"Confirm that no API call, credential, production data, or writeback was used.",Text note or review comment,This is required for every non-production connector test.,No real connector activation.,/sterile-compounding/nonprod-poc-plan,2026-05-12 23:01:46 UTC,46532bb0a38e579634abad02b4fe5e24e12060b29cbe46719f50de98d0dd9e4f
ST-EVID-800B7D717F20,ST-TEST-F2E3604D50D2,blue-mountain,Blue Mountain RAM,Approval Board Evidence,Approval Register,YELLOW,YES,Capture connector approval board row for this system.,CSV/screenshot,Shows approval gaps and not-allowed actions.,Do not treat this as formal enterprise approval.,/sterile-compounding/connector-approval-board/blue-mountain,2026-05-12 23:01:46 UTC,73a219dda486d74fde4cfbc81370dd362699684eb722a16add7eb791d299e5d8
