approval_id,system_key,system_name,approval_area,approval_status,approval_score,required_approver,approval_evidence_needed,current_evidence_status,decision_position,blocker_summary,safe_implementation_position,supporting_route,last_checked,approval_hash
ST-APPROVAL-B0CA35389AE0,myaccess,myAccess,Operational Support Approval,YELLOW,60,Support owner or application owner,"Support path, monitoring, rollback, and failure-mode handling are defined before live connector work.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Operational fallback and support path need review.,Blueprint/mock only,/sterile-compounding/data-contracts/myaccess,2026-05-12 23:01:46 UTC,f0619f10ff871543f116e7798616fe52ff30a59c0661b05e82eb81244f02c140
ST-APPROVAL-D3E4B843BF4A,power-bi,Power BI,Business Owner Approval,YELLOW,60,Business/process owner,Named process owner confirms the integration use case and business value.,Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Business owner has not been captured in the sterile app yet.,Blueprint/mock only,/sterile-compounding/data-contracts/power-bi,2026-05-12 23:01:46 UTC,49fab4bd36b889bceee28347bf6cd6538a1073cd181e4793ac894593a4ba2926
ST-APPROVAL-7A142FD7164A,power-bi,Power BI,System Owner Approval,YELLOW,65,Source-system owner,"System owner confirms allowed data access pattern, fields, and source-of-truth boundary.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,System owner review still required before live connector work.,Blueprint/mock only,/sterile-compounding/data-contracts/power-bi,2026-05-12 23:01:46 UTC,566b9bfae3fac7e97a81fce4b80acfb3800bfe01a15b3a323b245beabdd4b45e
ST-APPROVAL-8BAA024D22D6,power-bi,Power BI,QA / Governance Approval,YELLOW,65,"QA, compliance, or governance reviewer",QA/governance confirms the intended use is evidence support only and does not replace validated release or QMS controls.,Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Governance approval needed before production use.,Blueprint/mock only,/sterile-compounding/data-contracts/power-bi,2026-05-12 23:01:46 UTC,c280551fae2b5f9c2713a2cb2dbf63aa03835481c2adfd2b8fdac23bb781ed26
ST-APPROVAL-72601C766897,power-bi,Power BI,Security / Privacy Approval,YELLOW,70,"Security, privacy, or IAM reviewer","Security/privacy reviewer confirms metadata-only design, least privilege, and no unnecessary PHI/PII/secrets collection.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,"Security review required before credentials, tokens, or real data are used.",Blueprint/mock only,/sterile-compounding/data-contracts/power-bi,2026-05-12 23:01:46 UTC,8240ff51fc13de2cf6f73bd9463dc7678af383e72da3e1438dc2c337c37b1d9a
ST-APPROVAL-8F60E383CE1D,power-bi,Power BI,Data Contract Approval,GREEN,80,Data owner or integration architect,"Data contract, field mapping, keys, status values, quality rules, and failure modes are reviewed.",Blueprint evidence available; formal approval evidence not captured.,GO FOR MOCK,Data contract and mock payload are acceptable for blueprint-level review.,Blueprint/mock only,/sterile-compounding/data-contracts/power-bi,2026-05-12 23:01:46 UTC,1e2b101f7baca76f77b189344850909a4345493f128f74ad9e09329d8648357d
ST-APPROVAL-8F89EA445162,power-bi,Power BI,Validation Boundary Approval,GREEN,78,Validation/CSV reviewer if regulated use is intended,"Validated-system boundary, no-writeback rule, non-replacement statement, and documentation requirements are reviewed.",Blueprint evidence available; formal approval evidence not captured.,GO FOR BLUEPRINT,No-writeback boundary supports blueprint-stage review.,Blueprint/mock only,/sterile-compounding/data-contracts/power-bi,2026-05-12 23:01:46 UTC,2d6862262ce8986af486643c728eeffcb48f59dffbde9252d4c43f8fd00bee4a
ST-APPROVAL-4D6CB7EA5FE5,power-bi,Power BI,Operational Support Approval,YELLOW,60,Support owner or application owner,"Support path, monitoring, rollback, and failure-mode handling are defined before live connector work.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Operational fallback and support path need review.,Blueprint/mock only,/sterile-compounding/data-contracts/power-bi,2026-05-12 23:01:46 UTC,08c9472af38cb499693cbb9babafa6bfd5038778859fa7902ae9dca1e86aefc6
ST-APPROVAL-F40A075D10C3,servicenow,ServiceNow,Business Owner Approval,YELLOW,60,Business/process owner,Named process owner confirms the integration use case and business value.,Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Business owner has not been captured in the sterile app yet.,Blueprint/mock only,/sterile-compounding/data-contracts/servicenow,2026-05-12 23:01:46 UTC,b806b6a447b0a0a8a8d9bd571c69b648d55589d6a777f23d1056154f534bfa2c
ST-APPROVAL-6D1DE2F088DE,servicenow,ServiceNow,System Owner Approval,YELLOW,65,Source-system owner,"System owner confirms allowed data access pattern, fields, and source-of-truth boundary.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,System owner review still required before live connector work.,Blueprint/mock only,/sterile-compounding/data-contracts/servicenow,2026-05-12 23:01:46 UTC,3488a3423d15180f9be38f6e8dc1659f2d7fbe72bbff903be2045d5b8cc82282
ST-APPROVAL-547247D9E3E1,servicenow,ServiceNow,QA / Governance Approval,YELLOW,65,"QA, compliance, or governance reviewer",QA/governance confirms the intended use is evidence support only and does not replace validated release or QMS controls.,Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Governance approval needed before production use.,Blueprint/mock only,/sterile-compounding/data-contracts/servicenow,2026-05-12 23:01:46 UTC,3f953e3b448cc67628aedd770938d6b26c1da8414695c461b7992947940c4ee4
ST-APPROVAL-C6412B73ECA5,servicenow,ServiceNow,Security / Privacy Approval,YELLOW,70,"Security, privacy, or IAM reviewer","Security/privacy reviewer confirms metadata-only design, least privilege, and no unnecessary PHI/PII/secrets collection.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,"Security review required before credentials, tokens, or real data are used.",Blueprint/mock only,/sterile-compounding/data-contracts/servicenow,2026-05-12 23:01:46 UTC,d3e09a8ad858bd62e6e784fc091b94e31d2859a1829d17c7708ba06709c9f635
ST-APPROVAL-64252FFC65F4,servicenow,ServiceNow,Data Contract Approval,YELLOW,60,Data owner or integration architect,"Data contract, field mapping, keys, status values, quality rules, and failure modes are reviewed.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Data contract needs review before implementation.,Blueprint/mock only,/sterile-compounding/data-contracts/servicenow,2026-05-12 23:01:46 UTC,f55b47697378c2dbb0e6a7be28aefbd5907294117126dffe9b33269551ec5b2f
ST-APPROVAL-C4533A65B1DD,servicenow,ServiceNow,Validation Boundary Approval,GREEN,78,Validation/CSV reviewer if regulated use is intended,"Validated-system boundary, no-writeback rule, non-replacement statement, and documentation requirements are reviewed.",Blueprint evidence available; formal approval evidence not captured.,GO FOR BLUEPRINT,No-writeback boundary supports blueprint-stage review.,Blueprint/mock only,/sterile-compounding/data-contracts/servicenow,2026-05-12 23:01:46 UTC,277ba38ced79e90d74212e0a0bdbd8be1b678d10e192fbd5709e6861198dbc8f
ST-APPROVAL-88575E2889E0,servicenow,ServiceNow,Operational Support Approval,YELLOW,60,Support owner or application owner,"Support path, monitoring, rollback, and failure-mode handling are defined before live connector work.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Operational fallback and support path need review.,Blueprint/mock only,/sterile-compounding/data-contracts/servicenow,2026-05-12 23:01:46 UTC,2dee2e1f191d92bac849df983651b60c230ad093d03b3323a00b8f1e9a819b4b
ST-APPROVAL-39BA880998DB,veeva,Veeva Vault / QMS,Business Owner Approval,YELLOW,60,Business/process owner,Named process owner confirms the integration use case and business value.,Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Business owner has not been captured in the sterile app yet.,Blueprint/mock only,/sterile-compounding/data-contracts/veeva,2026-05-12 23:01:46 UTC,525f4e73535d24658915eab18c454f31100a46ab9925854ef447cebe2a096f9d
ST-APPROVAL-3FDC755F45F2,veeva,Veeva Vault / QMS,System Owner Approval,YELLOW,55,Source-system owner,"System owner confirms allowed data access pattern, fields, and source-of-truth boundary.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,System owner approval required before any live connector work.,Blueprint/mock only,/sterile-compounding/data-contracts/veeva,2026-05-12 23:01:46 UTC,32412e0c61c5a5ed89c8629e234eccbfc2466da7f4fd8169c3340165dc8aeea1
ST-APPROVAL-0536992F8B4F,veeva,Veeva Vault / QMS,QA / Governance Approval,YELLOW,55,"QA, compliance, or governance reviewer",QA/governance confirms the intended use is evidence support only and does not replace validated release or QMS controls.,Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,QA/governance approval required because this touches regulated source-of-truth boundaries.,Blueprint/mock only,/sterile-compounding/data-contracts/veeva,2026-05-12 23:01:46 UTC,890ab1442074d278f57849721f6e744d098244da8d89343ec01a7cea467c372b
ST-APPROVAL-30B4FF865010,veeva,Veeva Vault / QMS,Security / Privacy Approval,YELLOW,55,"Security, privacy, or IAM reviewer","Security/privacy reviewer confirms metadata-only design, least privilege, and no unnecessary PHI/PII/secrets collection.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,"Identity, access, or QMS metadata requires security/privacy review.",Blueprint/mock only,/sterile-compounding/data-contracts/veeva,2026-05-12 23:01:46 UTC,c00b9cdb726a5bf8c4991520eaafc82454bc6419b6848ee400ea2d6a87164afc
ST-APPROVAL-FAE0D7152D6E,veeva,Veeva Vault / QMS,Data Contract Approval,YELLOW,60,Data owner or integration architect,"Data contract, field mapping, keys, status values, quality rules, and failure modes are reviewed.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Data contract needs review before implementation.,Blueprint/mock only,/sterile-compounding/data-contracts/veeva,2026-05-12 23:01:46 UTC,0c1606daaa8c65e94c8aab142d1b1f9bdef4d43f27f3657923a639736d42322b
ST-APPROVAL-762E59F8FBE3,veeva,Veeva Vault / QMS,Validation Boundary Approval,GREEN,78,Validation/CSV reviewer if regulated use is intended,"Validated-system boundary, no-writeback rule, non-replacement statement, and documentation requirements are reviewed.",Blueprint evidence available; formal approval evidence not captured.,GO FOR BLUEPRINT,No-writeback boundary supports blueprint-stage review.,Blueprint/mock only,/sterile-compounding/data-contracts/veeva,2026-05-12 23:01:46 UTC,d1a973d7c073448d5965f04ee305e1d679cc36e6450006ec1c536f08c7316ee2
ST-APPROVAL-0A0C0C59819E,veeva,Veeva Vault / QMS,Operational Support Approval,YELLOW,60,Support owner or application owner,"Support path, monitoring, rollback, and failure-mode handling are defined before live connector work.",Blueprint evidence available; formal approval evidence not captured.,CONDITIONAL,Operational fallback and support path need review.,Blueprint/mock only,/sterile-compounding/data-contracts/veeva,2026-05-12 23:01:46 UTC,903e74629cb55571c5cbff3efcee0ab76b04da8c8f71fdb17cb32a0de33665e3
