mapping_id,system_key,system_name,source_object,source_field,target_register,target_field,mapping_type,required_for_mvp,data_quality_rule,governance_use,risk_if_missing,mapping_status,mapping_score,last_checked,mapping_hash
ST-MAP-A1E362E2FC67,myaccess,myAccess,access_review,last_review_date,sterile_compounding_personnel_competency_register.csv,last_review_date,Date,NO,Date must be within approved review window,Support access review evidence,Review evidence may be outdated,YELLOW,70,2026-05-12 23:01:46 UTC,a09e3e1a4f9d378e909c83f19efbc700298021dc22addfd120f9a488f9aebc69
ST-MAP-75AF8BB8D649,entra,Microsoft Entra ID,user,userPrincipalName,sterile_compounding_signoff_register.csv,signed_by,Identity,YES,UPN must match authenticated reviewer identity,Normalize reviewer/sign-off identity,Reviewer identity ambiguity,GREEN,80,2026-05-12 23:01:46 UTC,4c8bb606652c0d0a4246f94e3dba7aa6be3255036c3aff8167cfe0dd2a41860c
ST-MAP-91C997D564BB,entra,Microsoft Entra ID,user,displayName,sterile_compounding_custody_chain_register.csv,custodian_name,Identity,NO,Display name must align to UPN/email,Normalize custodian identity,Custody actor ambiguity,YELLOW,70,2026-05-12 23:01:46 UTC,d184c45e4d1891e9e94c4e3fbfe46795db35a3a8848b7e428e4f5b53bed62d83
ST-MAP-BC1C047C1820,entra,Microsoft Entra ID,user,accountEnabled,sterile_compounding_personnel_drift_register.csv,identity_status,Status,NO,Disabled accounts must trigger review,Prevent inactive identity reliance,Inactive accounts may be relied on,YELLOW,75,2026-05-12 23:01:46 UTC,11e9f0bc520fd4bf8ac89c2f5bdadaba629d05c87fa4a138a0dba69e9da3b8d1
ST-MAP-6E09A5E26CCF,azure-blob,Azure Blob Storage,blob,name,sterile_compounding_evidence_vault_register.csv,file_name,Storage,YES,File name must follow sterile naming convention,Link evidence metadata to stored file,Evidence file cannot be located,GREEN,80,2026-05-12 23:01:46 UTC,b18c5189a961b0d46c9a97a700b8bf887fd59faf410b26902b7277dda469c781
ST-MAP-06584B677EFA,azure-blob,Azure Blob Storage,blob,content_md5_or_sha256,sterile_compounding_evidence_vault_register.csv,evidence_hash,Hash,YES,Hash must verify after upload,Support tamper-evident evidence,Evidence integrity cannot be checked,GREEN,90,2026-05-12 23:01:46 UTC,efebfeadbcec296fc3cacfb4b205d7707fa8e1d96460669a3c236881cbbf16e0
ST-MAP-C508B748D15E,azure-blob,Azure Blob Storage,blob,metadata.retention_label,sterile_compounding_register_catalog.csv,risk_note,Retention,NO,Retention metadata must be controlled if used,Support records governance,Retention expectations unclear,YELLOW,65,2026-05-12 23:01:46 UTC,f14e65f5414e3d13b263be57acc2b0a62e17fb47bb7b3a4c90137cd69daf3172
ST-MAP-8CBF74FEF95F,azure-confidential-ledger,Azure Confidential Ledger,transaction,transactionId,sterile_compounding_seal_verification_register.csv,ledger_transaction_id,Ledger,NO,Transaction ID must verify against hash payload,Prove external hash anchoring,Hash anchor cannot be independently verified,YELLOW,75,2026-05-12 23:01:46 UTC,3aceecd466d6328c0d5bbb9759c4fdb9c4331226f58f325228dbe6804a758f59
ST-MAP-CCA1D719EFF3,azure-confidential-ledger,Azure Confidential Ledger,transaction,contents_hash,sterile_compounding_freeze_snapshot_register.csv,snapshot_hash,Hash,NO,Ledger payload must contain hash only,Anchor freeze/presentation evidence,Snapshot immutability weaker,GREEN,80,2026-05-12 23:01:46 UTC,805c8f54d6aeda347a29c2d45e84936f0af223537d3e716b7037af948f002680
ST-MAP-26E602733B64,power-bi,Power BI,dataset,record_id,sterile_compounding_inspection_binder_register.csv,record_id,Analytics Key,YES,Record ID must join across registers,Enable dashboard drill-through,Dashboard cannot drill by CSP,GREEN,85,2026-05-12 23:01:46 UTC,66421883a096390b79233dcb4b985a56351a9f7960abaefc6d42fcf9858a9903
ST-MAP-CB64DF5AE24B,power-bi,Power BI,dataset,inspection_status,sterile_compounding_inspection_readiness_register.csv,inspection_status,KPI,YES,Status values must be GREEN/YELLOW/RED,Show inspection readiness KPI,Leadership readiness KPI unavailable,GREEN,85,2026-05-12 23:01:46 UTC,51ba69799b7ba927ed5f09541f4f9704749bf7cab53610d09dac9725aab5752f
ST-MAP-2575057F978B,power-bi,Power BI,dataset,maturity_score,sterile_compounding_maturity_model_register.csv,maturity_score,KPI,NO,Score must remain numeric 0-100,Show roadmap/maturity progression,Maturity dashboard incomplete,YELLOW,75,2026-05-12 23:01:46 UTC,57e77a84e90c68984e5bf05633372603dd32d32cbdaae302a1d88d801ddd52da
