packet_id,system_key,system_name,packet_section,packet_item,packet_status,packet_score,source_register,source_route,evidence_type,required_for_packet,packet_note,not_allowed_content,last_checked,packet_hash
ST-PACKET-705B838475D7,azure-blob,Azure Blob Storage,06 Evidence Item Detail,Failure Mode Evidence,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/pre-integration-risk?system=azure-blob,Risk Register,YES,Capture pre-integration risk register and false-GREEN prevention rule.,No silent pass when evidence is missing.,2026-05-12 23:01:46 UTC,6899b9aaed8b7f6d0ab675295444e5b0632c03fcebd3bc9be0e385678aa52b54
ST-PACKET-42770DDD0A09,azure-blob,Azure Blob Storage,06 Evidence Item Detail,Route Screenshot,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/nonprod-poc-plan/azure-blob,Screenshot,YES,Capture screenshot of the sterile planning route that supports the test.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",2026-05-12 23:01:46 UTC,293ce10b8c38fb60229e2927057b8ea5a33e5ae680b43fb4dfcfd19c3c41ee37
ST-PACKET-038DD530E009,azure-blob,Azure Blob Storage,06 Evidence Item Detail,CSV Export,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/nonprod-poc-plan/azure-blob,CSV,YES,Export the relevant sterile register used by the test.,No uncontrolled export from enterprise source systems.,2026-05-12 23:01:46 UTC,8466874f3eb00bdb1034a4a3065a1d5cf13695fd95386b2119c4349a2aecd91f
ST-PACKET-014AE111EB7B,azure-blob,Azure Blob Storage,06 Evidence Item Detail,Boundary Confirmation,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/nonprod-poc-plan,Governance Note,YES,"Confirm that no API call, credential, production data, or writeback was used.",No real connector activation.,2026-05-12 23:01:46 UTC,cf974ef284945707bb91ba2a0b6eb124a1ffd63212192ec3462e028d13dea419
ST-PACKET-8DE1FE952277,azure-blob,Azure Blob Storage,06 Evidence Item Detail,Evidence Package Summary,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/poc-evidence-checklist,Checklist,YES,Confirm all required evidence items are present for this test case.,No evidence package built from production extracts unless separately approved.,2026-05-12 23:01:46 UTC,e9a1eeed144ba8a0263b8884214e1d686e6c57f56caf56890863720dd5ef345d
ST-PACKET-4E000AFE4546,azure-confidential-ledger,Azure Confidential Ledger,01 Result Summary,POC Results Summary,YELLOW,38,sterile_compounding_poc_results_summary.csv,/sterile-compounding/poc-results-summary/azure-confidential-ledger,Summary Register,YES,Azure Confidential Ledger: status=YELLOW; score=38; tests=6; P0=4; GREEN tests=1; YELLOW tests=5; RED tests=0; required evidence=23; evidence gaps=20; P0 blockers=0.,No production API calls; no credentials; no source-system writeback; no PHI/PII/secrets; no protected-module patch; no production automation.,2026-05-12 23:01:46 UTC,c0f5f156afa36d7a9f49759de8b918d3e953d0fd52c31228d34fabf99f0914d9
ST-PACKET-A76DE89BCD20,azure-confidential-ledger,Azure Confidential Ledger,02 Execution Ledger,POC Test Execution Ledger,GREEN,50,sterile_compounding_poc_test_execution.csv,/sterile-compounding/poc-test-execution?system=azure-confidential-ledger,Execution Register,YES,"Contains manual non-production test execution readiness, pass/fail criteria, and execution decisions.",No production API calls; no credentials; no source-system writeback; no PHI/PII/secrets; no protected-module patch; no production automation.,2026-05-12 23:01:46 UTC,f216db04c6d6c9ad3a8052fcecee9ac9146d4c0388308b8e0a9590d298427398
ST-PACKET-5A9EF5A4C074,azure-confidential-ledger,Azure Confidential Ledger,03 Evidence Checklist,POC Evidence Checklist,YELLOW,0,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/poc-evidence-checklist?system=azure-confidential-ledger,Evidence Checklist,YES,"Contains screenshots, CSV exports, boundary confirmations, and system-specific evidence expectations.",No production API calls; no credentials; no source-system writeback; no PHI/PII/secrets; no protected-module patch; no production automation.,2026-05-12 23:01:46 UTC,4b06973812f015817299a05636db9a24d380d903a2c892ec1bdba5aaa5c047c0
ST-PACKET-AD0A311CD430,azure-confidential-ledger,Azure Confidential Ledger,04 Non-Production Boundary,Boundary and Not-Allowed Statement,GREEN,100,sterile_compounding_nonprod_poc_plan.csv,/sterile-compounding/nonprod-poc-plan/azure-confidential-ledger,Governance Statement,YES,"Confirms mock/non-production-only boundary and prohibits production connection, credentials, writeback, and protected-module changes.",No production API calls; no credentials; no source-system writeback; no PHI/PII/secrets; no protected-module patch; no production automation.,2026-05-12 23:01:46 UTC,e892c2b88e5f202d2135046dde67ef1244cff304bc412a5ae2afbd56579926a2
ST-PACKET-0007261A1726,azure-confidential-ledger,Azure Confidential Ledger,05 Approval Trace,Connector Approval and Decision Trace,YELLOW,70,sterile_compounding_connector_approval_board.csv,/sterile-compounding/connector-approval-board/azure-confidential-ledger,Approval Planning Record,YES,"Shows approval readiness, implementation position, and not-allowed actions before any real connector work.",No production API calls; no credentials; no source-system writeback; no PHI/PII/secrets; no protected-module patch; no production automation.,2026-05-12 23:01:46 UTC,f420bc020c4dfc28852d43b7420c6e3ae1e57a05c69ee34873df0ad62928f286
ST-PACKET-3C8B32222A33,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,Route Screenshot,GREEN,90,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/nonprod-poc-plan/azure-confidential-ledger,Screenshot,YES,Capture screenshot of the sterile planning route that supports the test.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",2026-05-12 23:01:46 UTC,6ec2b739b7099e549894f5a4f96b772f3cd17ff5eba100a72a4afd7da590eecb
ST-PACKET-E82654197D1F,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,CSV Export,GREEN,90,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/nonprod-poc-plan/azure-confidential-ledger,CSV,YES,Export the relevant sterile register used by the test.,No uncontrolled export from enterprise source systems.,2026-05-12 23:01:46 UTC,caff862555f13a386fd22e0d8af73872ffc419fb335cecac083a1170daac0247
ST-PACKET-E479BC3FF562,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,Boundary Confirmation,GREEN,90,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/nonprod-poc-plan,Governance Note,YES,"Confirm that no API call, credential, production data, or writeback was used.",No real connector activation.,2026-05-12 23:01:46 UTC,0cb436cbba05902acbc5ead0658f77ca4262f3f4d7e6686abbbaff2a9e058206
ST-PACKET-3C8B32222A33,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,Route Screenshot,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/data-contracts/azure-confidential-ledger,Screenshot,YES,Capture screenshot of the sterile planning route that supports the test.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",2026-05-12 23:01:46 UTC,a74d86b017a707c5f13927b720e682308ee7bc48bcb53741b8926e6f7da3e7d4
ST-PACKET-E82654197D1F,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,CSV Export,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/data-contracts/azure-confidential-ledger,CSV,YES,Export the relevant sterile register used by the test.,No uncontrolled export from enterprise source systems.,2026-05-12 23:01:46 UTC,71ca6fde454bbdd3e5760bb2dd0b5c58932a7e04003838d16c78af1d31d1af51
ST-PACKET-E479BC3FF562,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,Boundary Confirmation,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/nonprod-poc-plan,Governance Note,YES,"Confirm that no API call, credential, production data, or writeback was used.",No real connector activation.,2026-05-12 23:01:46 UTC,6cc99a690bc8bed24ccfe3f10a2f159025b7ac89597e3f4e00770bf2116cfff3
ST-PACKET-CC5691759205,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,Data Contract Evidence,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/data-contracts/azure-confidential-ledger,Register Export,YES,Export or screenshot the data contract and field mapping pages for this system.,No live data pull.,2026-05-12 23:01:46 UTC,dbfea3753b610d1af36874a0e782fb59fa0b07e8d1b5bd7f43138691af518c77
ST-PACKET-3C8B32222A33,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,Route Screenshot,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/mock-ingestion-lab/azure-confidential-ledger,Screenshot,YES,Capture screenshot of the sterile planning route that supports the test.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",2026-05-12 23:01:46 UTC,2488d3ab01b133b99aa27e1c8ba99a81d81de2ab6e167f761d3e6b458bcec5b4
ST-PACKET-E82654197D1F,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,CSV Export,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/mock-ingestion-lab/azure-confidential-ledger,CSV,YES,Export the relevant sterile register used by the test.,No uncontrolled export from enterprise source systems.,2026-05-12 23:01:46 UTC,545d6d7c0f7faa4fd0543c26b060a46dafc9dc36df4107653f185799832da423
ST-PACKET-E479BC3FF562,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,Boundary Confirmation,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/nonprod-poc-plan,Governance Note,YES,"Confirm that no API call, credential, production data, or writeback was used.",No real connector activation.,2026-05-12 23:01:46 UTC,6cc99a690bc8bed24ccfe3f10a2f159025b7ac89597e3f4e00770bf2116cfff3
ST-PACKET-F3ABF307BCCC,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,Mock Payload Evidence,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/mock-ingestion-lab/azure-confidential-ledger,Mock Register,YES,Capture mock ingestion payload shape and quality gate for this system.,No external API request.,2026-05-12 23:01:46 UTC,5f844b6a2adc6eb25ed9ca2ad27d26122ab1c4d4a5548df2c432d8548eaf10cf
ST-PACKET-3C8B32222A33,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,Route Screenshot,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/connector-approval-board/azure-confidential-ledger,Screenshot,YES,Capture screenshot of the sterile planning route that supports the test.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",2026-05-12 23:01:46 UTC,215c7aa3c5fff583c9f0a0abfa611d49843183087b672b2364c8342a79e89549
ST-PACKET-E82654197D1F,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,CSV Export,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/connector-approval-board/azure-confidential-ledger,CSV,YES,Export the relevant sterile register used by the test.,No uncontrolled export from enterprise source systems.,2026-05-12 23:01:46 UTC,aeb9763b9a19db8e859881704987b486fb4e7728d72326cfad949f2a7a59f263
ST-PACKET-E479BC3FF562,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,Boundary Confirmation,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/nonprod-poc-plan,Governance Note,YES,"Confirm that no API call, credential, production data, or writeback was used.",No real connector activation.,2026-05-12 23:01:46 UTC,6cc99a690bc8bed24ccfe3f10a2f159025b7ac89597e3f4e00770bf2116cfff3
ST-PACKET-DB7B1C746CA9,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,Approval Board Evidence,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/connector-approval-board/azure-confidential-ledger,Approval Register,YES,Capture connector approval board row for this system.,Do not treat this as formal enterprise approval.,2026-05-12 23:01:46 UTC,44138c2fc1be5c3f50d78d799cf836421d7abe71aaf1e40ded51397fa81d0329
ST-PACKET-3C8B32222A33,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,Route Screenshot,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/pre-integration-risk?system=azure-confidential-ledger,Screenshot,YES,Capture screenshot of the sterile planning route that supports the test.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",2026-05-12 23:01:46 UTC,77227643fb6f7cf9ffa5f9ed27e6b881e16b1fcd01ca6972647a7e3af3c08ed7
ST-PACKET-E82654197D1F,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,CSV Export,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/pre-integration-risk?system=azure-confidential-ledger,CSV,YES,Export the relevant sterile register used by the test.,No uncontrolled export from enterprise source systems.,2026-05-12 23:01:46 UTC,09e81a2994f50c92968cba0c99c090cc5270b949d8ff114b0e4662e7b7425b64
ST-PACKET-E479BC3FF562,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,Boundary Confirmation,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/nonprod-poc-plan,Governance Note,YES,"Confirm that no API call, credential, production data, or writeback was used.",No real connector activation.,2026-05-12 23:01:46 UTC,6cc99a690bc8bed24ccfe3f10a2f159025b7ac89597e3f4e00770bf2116cfff3
ST-PACKET-4EFF7D382636,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,Failure Mode Evidence,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/pre-integration-risk?system=azure-confidential-ledger,Risk Register,YES,Capture pre-integration risk register and false-GREEN prevention rule.,No silent pass when evidence is missing.,2026-05-12 23:01:46 UTC,9159c8af8f65ede9ce3eca0c28610cef2c149232972c82349aa530a9c0f4c649
ST-PACKET-3C8B32222A33,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,Route Screenshot,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/nonprod-poc-plan/azure-confidential-ledger,Screenshot,YES,Capture screenshot of the sterile planning route that supports the test.,"No production PHI/PII, secrets, tokens, credentials, or source-system admin screens.",2026-05-12 23:01:46 UTC,dc83b70d1f961a10bda8dc9019ec85b3eecd1ed4632b3045e33008eba13736f8
ST-PACKET-E82654197D1F,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,CSV Export,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/nonprod-poc-plan/azure-confidential-ledger,CSV,YES,Export the relevant sterile register used by the test.,No uncontrolled export from enterprise source systems.,2026-05-12 23:01:46 UTC,6b539efc93017277617b0c7d5634085776f9eaa39cf87d4368c93961a4676f30
ST-PACKET-E479BC3FF562,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,Boundary Confirmation,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/nonprod-poc-plan,Governance Note,YES,"Confirm that no API call, credential, production data, or writeback was used.",No real connector activation.,2026-05-12 23:01:46 UTC,6cc99a690bc8bed24ccfe3f10a2f159025b7ac89597e3f4e00770bf2116cfff3
ST-PACKET-74CCC49F885F,azure-confidential-ledger,Azure Confidential Ledger,06 Evidence Item Detail,Evidence Package Summary,YELLOW,60,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/poc-evidence-checklist,Checklist,YES,Confirm all required evidence items are present for this test case.,No evidence package built from production extracts unless separately approved.,2026-05-12 23:01:46 UTC,372553b670b13a45df2d8bcf2cd45bc0a8698bd9bbb7169c08fc074cd7c2763a
ST-PACKET-151956E11E54,blue-mountain,Blue Mountain RAM,01 Result Summary,POC Results Summary,YELLOW,38,sterile_compounding_poc_results_summary.csv,/sterile-compounding/poc-results-summary/blue-mountain,Summary Register,YES,Blue Mountain RAM: status=YELLOW; score=38; tests=6; P0=4; GREEN tests=1; YELLOW tests=5; RED tests=0; required evidence=23; evidence gaps=20; P0 blockers=0.,No production API calls; no credentials; no source-system writeback; no PHI/PII/secrets; no protected-module patch; no production automation.,2026-05-12 23:01:46 UTC,ba70703f777a80e530c562333e3f50b15a9b09cb2bdfee0c854d3d48a9d0331c
ST-PACKET-9EA89A07D097,blue-mountain,Blue Mountain RAM,02 Execution Ledger,POC Test Execution Ledger,GREEN,50,sterile_compounding_poc_test_execution.csv,/sterile-compounding/poc-test-execution?system=blue-mountain,Execution Register,YES,"Contains manual non-production test execution readiness, pass/fail criteria, and execution decisions.",No production API calls; no credentials; no source-system writeback; no PHI/PII/secrets; no protected-module patch; no production automation.,2026-05-12 23:01:46 UTC,69428c19eff6b826f8a2e807a47bddc78a59697d1e22a1d96d729f864efbea42
ST-PACKET-0699974FD38E,blue-mountain,Blue Mountain RAM,03 Evidence Checklist,POC Evidence Checklist,YELLOW,0,sterile_compounding_poc_evidence_checklist.csv,/sterile-compounding/poc-evidence-checklist?system=blue-mountain,Evidence Checklist,YES,"Contains screenshots, CSV exports, boundary confirmations, and system-specific evidence expectations.",No production API calls; no credentials; no source-system writeback; no PHI/PII/secrets; no protected-module patch; no production automation.,2026-05-12 23:01:46 UTC,07631211d39603e2d0fef80733d47dcf58c81e8f549e5a11ece6751cd1017b36
