risk_id,system_key,system_name,risk_domain,risk_status,risk_score,risk_statement,control_needed,evidence_needed,approval_needed,go_no_go_position,safe_next_action,supporting_route,last_checked,risk_hash
ST-IRISK-BF8A69F42CF2,veeva,Veeva Vault / QMS,Operational Failure Mode,YELLOW,65,Operational Failure Mode: Missing or stale connector data must not create false GREEN readiness. Review or approval is needed before live implementation.,Define fallback logic and YELLOW/RED behavior.,Fallback rule showing when missing connector data becomes YELLOW/RED instead of false GREEN.,"QA, Document Control, Veeva owner, CSV/validation reviewer",CONDITIONAL,Map SOP/formula version evidence to sterile SOP drift register using document_id and version.,/sterile-compounding/data-contracts/veeva,2026-05-12 23:01:46 UTC,bddce5944fb9dfde4ddeef9163a01ae02fde0fe5c8595c846a8de9072eddc0a4
ST-IRISK-49DC89BE730A,veeva,Veeva Vault / QMS,Approval Readiness,YELLOW,65,Approval Readiness: System owner and governance approval must exist before live connection. Review or approval is needed before live implementation.,Capture owner approval and implementation authorization.,Named owner/reviewer approval before live connector design or implementation.,"QA, Document Control, Veeva owner, CSV/validation reviewer",CONDITIONAL,Map SOP/formula version evidence to sterile SOP drift register using document_id and version.,/sterile-compounding/data-contracts/veeva,2026-05-12 23:01:46 UTC,f3210cd04010425b10d38f17b0a3a4e68c336f453868e2c0d9da1355431412f6
ST-IRISK-E3E5BCF51F38,blue-mountain,Blue Mountain RAM,Source-of-Truth Boundary,GREEN,85,Source-of-Truth Boundary: External system must remain source of truth where applicable. Current blueprint signal is acceptable for mock testing.,Document source-of-truth rule and no-writeback boundary.,Document which system remains source of truth and what AssuranceLayer is allowed to store.,"System owner, validation owner, QA, equipment/process owner",GO FOR BLUEPRINT,Map hood/room/equipment IDs to sterile equipment-room drift register.,/sterile-compounding/data-contracts/blue-mountain,2026-05-12 23:01:46 UTC,ecc910841075ce505a23b0ee55654690d17a34ed2090b0fd1c0c6d27b127d6ab
ST-IRISK-1E91005BBA58,blue-mountain,Blue Mountain RAM,Data Quality,YELLOW,65,"Data Quality: Mapped fields must be complete, valid, and consistently formatted. Review or approval is needed before live implementation.",Define field-level validation and allowed values.,"Field mapping matrix with required fields, status values, and quality rules.","System owner, validation owner, QA, equipment/process owner",CONDITIONAL,Map hood/room/equipment IDs to sterile equipment-room drift register.,/sterile-compounding/data-contracts/blue-mountain,2026-05-12 23:01:46 UTC,d5530e21eccf64ef33bdf5bf43a69cab87141b495fd1e8ac630f17afe4032375
ST-IRISK-72C5F2D1D1EB,blue-mountain,Blue Mountain RAM,Security and Privacy,GREEN,80,Security and Privacy: Sensitive data must not be pulled or stored unnecessarily. Current blueprint signal is acceptable for mock testing.,Review PHI/PII/secrets handling and least-privilege access.,Security/privacy review confirming metadata-only use and no unnecessary sensitive data.,"System owner, validation owner, QA, equipment/process owner",CONDITIONAL,Map hood/room/equipment IDs to sterile equipment-room drift register.,/sterile-compounding/data-contracts/blue-mountain,2026-05-12 23:01:46 UTC,2930257397c3b13e1391f13cbc9d764998bb221591596b69a74239e0a27fee27
ST-IRISK-2850487FA231,blue-mountain,Blue Mountain RAM,Validation / CSV Boundary,YELLOW,58,Validation / CSV Boundary: Validated systems cannot be replaced by AssuranceLayer. Review or approval is needed before live implementation.,Document CSV/validation boundary and intended use.,CSV/validation boundary statement and validated-system non-replacement statement.,"System owner, validation owner, QA, equipment/process owner",CONDITIONAL,Map hood/room/equipment IDs to sterile equipment-room drift register.,/sterile-compounding/data-contracts/blue-mountain,2026-05-12 23:01:46 UTC,f8c97543016e3b436002b028dab3a91dc978cc3e973ad654847b78c6fb2a12fd
ST-IRISK-04FD14F53B14,blue-mountain,Blue Mountain RAM,Operational Failure Mode,YELLOW,65,Operational Failure Mode: Missing or stale connector data must not create false GREEN readiness. Review or approval is needed before live implementation.,Define fallback logic and YELLOW/RED behavior.,Fallback rule showing when missing connector data becomes YELLOW/RED instead of false GREEN.,"System owner, validation owner, QA, equipment/process owner",CONDITIONAL,Map hood/room/equipment IDs to sterile equipment-room drift register.,/sterile-compounding/data-contracts/blue-mountain,2026-05-12 23:01:46 UTC,8092ee7557d7fcc8b4780e4f80a406a297e44bc147d715b1abff78374b3bfb76
ST-IRISK-1A417E9E1849,blue-mountain,Blue Mountain RAM,Approval Readiness,YELLOW,65,Approval Readiness: System owner and governance approval must exist before live connection. Review or approval is needed before live implementation.,Capture owner approval and implementation authorization.,Named owner/reviewer approval before live connector design or implementation.,"System owner, validation owner, QA, equipment/process owner",CONDITIONAL,Map hood/room/equipment IDs to sterile equipment-room drift register.,/sterile-compounding/data-contracts/blue-mountain,2026-05-12 23:01:46 UTC,7bc706d702ba48945c57b1714f713e51495978a7c447fca1e9dd25b899caf301
ST-IRISK-81AB78DC6D77,myaccess,myAccess,Source-of-Truth Boundary,GREEN,85,Source-of-Truth Boundary: External system must remain source of truth where applicable. Current blueprint signal is acceptable for mock testing.,Document source-of-truth rule and no-writeback boundary.,Document which system remains source of truth and what AssuranceLayer is allowed to store.,"IAM owner, access governance owner, QA/Governance reviewer",GO FOR BLUEPRINT,Map technician role/access evidence to sterile personnel competency drift register.,/sterile-compounding/data-contracts/myaccess,2026-05-12 23:01:46 UTC,8c5bdfd25065ef319f96b3610046eaaf4a50ed7f08fe309b70e3a82ad1d98d36
ST-IRISK-E3D5308F46E5,myaccess,myAccess,Data Quality,YELLOW,65,"Data Quality: Mapped fields must be complete, valid, and consistently formatted. Review or approval is needed before live implementation.",Define field-level validation and allowed values.,"Field mapping matrix with required fields, status values, and quality rules.","IAM owner, access governance owner, QA/Governance reviewer",CONDITIONAL,Map technician role/access evidence to sterile personnel competency drift register.,/sterile-compounding/data-contracts/myaccess,2026-05-12 23:01:46 UTC,67cdef51d25b2938316619c86a807c347ac8b70d2cf10fe30837880d44c8817c
ST-IRISK-437E19B9C461,myaccess,myAccess,Security and Privacy,YELLOW,60,Security and Privacy: Sensitive data must not be pulled or stored unnecessarily. Review or approval is needed before live implementation.,Review PHI/PII/secrets handling and least-privilege access.,Security/privacy review confirming metadata-only use and no unnecessary sensitive data.,"IAM owner, access governance owner, QA/Governance reviewer",CONDITIONAL,Map technician role/access evidence to sterile personnel competency drift register.,/sterile-compounding/data-contracts/myaccess,2026-05-12 23:01:46 UTC,1a8ff4a8e05f1aa2dc00a1f05eef6c1f1be8a8bff784df9755d92a6bc803e262
ST-IRISK-A6EE050571C2,myaccess,myAccess,Validation / CSV Boundary,GREEN,82,Validation / CSV Boundary: Validated systems cannot be replaced by AssuranceLayer. Current blueprint signal is acceptable for mock testing.,Document CSV/validation boundary and intended use.,CSV/validation boundary statement and validated-system non-replacement statement.,"IAM owner, access governance owner, QA/Governance reviewer",CONDITIONAL,Map technician role/access evidence to sterile personnel competency drift register.,/sterile-compounding/data-contracts/myaccess,2026-05-12 23:01:46 UTC,a8a01ad514903e0ff49342c27f17c3a2778b759a5b13a20d2216b1ff6f909788
ST-IRISK-CEB45E53037B,myaccess,myAccess,Operational Failure Mode,YELLOW,65,Operational Failure Mode: Missing or stale connector data must not create false GREEN readiness. Review or approval is needed before live implementation.,Define fallback logic and YELLOW/RED behavior.,Fallback rule showing when missing connector data becomes YELLOW/RED instead of false GREEN.,"IAM owner, access governance owner, QA/Governance reviewer",CONDITIONAL,Map technician role/access evidence to sterile personnel competency drift register.,/sterile-compounding/data-contracts/myaccess,2026-05-12 23:01:46 UTC,3edcee4462d87fa03907e0a816a7ea987288add20b155016fd5225492fe0696f
ST-IRISK-FDAEDCBE9158,myaccess,myAccess,Approval Readiness,YELLOW,65,Approval Readiness: System owner and governance approval must exist before live connection. Review or approval is needed before live implementation.,Capture owner approval and implementation authorization.,Named owner/reviewer approval before live connector design or implementation.,"IAM owner, access governance owner, QA/Governance reviewer",CONDITIONAL,Map technician role/access evidence to sterile personnel competency drift register.,/sterile-compounding/data-contracts/myaccess,2026-05-12 23:01:46 UTC,bc2949dbff5a09faf6ad68d8e5f818d9442d62f8c4d2a4ce2f247800fd42e160
ST-IRISK-0AF251DF6BE1,entra,Microsoft Entra ID,Source-of-Truth Boundary,GREEN,85,Source-of-Truth Boundary: External system must remain source of truth where applicable. Current blueprint signal is acceptable for mock testing.,Document source-of-truth rule and no-writeback boundary.,Document which system remains source of truth and what AssuranceLayer is allowed to store.,"IAM owner, security owner, app owner",GO FOR BLUEPRINT,"Normalize reviewer, custodian, technician, and sign-off actors.",/sterile-compounding/data-contracts/entra,2026-05-12 23:01:46 UTC,f5aa51aa1fe9b6c2d56bce3457422efe0c34f02eaf63409208069be576ef565b
ST-IRISK-189C58A60E0D,entra,Microsoft Entra ID,Data Quality,YELLOW,65,"Data Quality: Mapped fields must be complete, valid, and consistently formatted. Review or approval is needed before live implementation.",Define field-level validation and allowed values.,"Field mapping matrix with required fields, status values, and quality rules.","IAM owner, security owner, app owner",CONDITIONAL,"Normalize reviewer, custodian, technician, and sign-off actors.",/sterile-compounding/data-contracts/entra,2026-05-12 23:01:46 UTC,2c04fa0622bd104ae03ce1faeb1d1b4f0203f8be3fdc01b5916cb7c5dec2c969
ST-IRISK-B0490D259EDA,entra,Microsoft Entra ID,Security and Privacy,YELLOW,60,Security and Privacy: Sensitive data must not be pulled or stored unnecessarily. Review or approval is needed before live implementation.,Review PHI/PII/secrets handling and least-privilege access.,Security/privacy review confirming metadata-only use and no unnecessary sensitive data.,"IAM owner, security owner, app owner",CONDITIONAL,"Normalize reviewer, custodian, technician, and sign-off actors.",/sterile-compounding/data-contracts/entra,2026-05-12 23:01:46 UTC,aadf68a7d89f66f399f10fce6fb916bf16ebc7152b53c7e1a3d07ea62d1f4d79
ST-IRISK-DF0240AA53EA,entra,Microsoft Entra ID,Validation / CSV Boundary,GREEN,82,Validation / CSV Boundary: Validated systems cannot be replaced by AssuranceLayer. Current blueprint signal is acceptable for mock testing.,Document CSV/validation boundary and intended use.,CSV/validation boundary statement and validated-system non-replacement statement.,"IAM owner, security owner, app owner",CONDITIONAL,"Normalize reviewer, custodian, technician, and sign-off actors.",/sterile-compounding/data-contracts/entra,2026-05-12 23:01:46 UTC,3ef66fbb30abc776ddcfe4c064ee9a2859d6eebe5e93a2581d79e17179b11d3d
ST-IRISK-6161DF108948,entra,Microsoft Entra ID,Operational Failure Mode,YELLOW,65,Operational Failure Mode: Missing or stale connector data must not create false GREEN readiness. Review or approval is needed before live implementation.,Define fallback logic and YELLOW/RED behavior.,Fallback rule showing when missing connector data becomes YELLOW/RED instead of false GREEN.,"IAM owner, security owner, app owner",CONDITIONAL,"Normalize reviewer, custodian, technician, and sign-off actors.",/sterile-compounding/data-contracts/entra,2026-05-12 23:01:46 UTC,c8fa2021723ae27a14adbc3cb10db0166a262133b0da966bb882a34cb518f20f
ST-IRISK-84171056F1E1,entra,Microsoft Entra ID,Approval Readiness,YELLOW,65,Approval Readiness: System owner and governance approval must exist before live connection. Review or approval is needed before live implementation.,Capture owner approval and implementation authorization.,Named owner/reviewer approval before live connector design or implementation.,"IAM owner, security owner, app owner",CONDITIONAL,"Normalize reviewer, custodian, technician, and sign-off actors.",/sterile-compounding/data-contracts/entra,2026-05-12 23:01:46 UTC,7e95c6c50413f4224cec388afdab8a1ef26acd7991809723dc2fd6dc52fca79c
ST-IRISK-DCA94B2D357A,azure-blob,Azure Blob Storage,Source-of-Truth Boundary,GREEN,85,Source-of-Truth Boundary: External system must remain source of truth where applicable. Current blueprint signal is acceptable for mock testing.,Document source-of-truth rule and no-writeback boundary.,Document which system remains source of truth and what AssuranceLayer is allowed to store.,"Azure owner, security owner, records/retention reviewer",GO FOR BLUEPRINT,Store exported sterile register snapshots in controlled folder pattern.,/sterile-compounding/data-contracts/azure-blob,2026-05-12 23:01:46 UTC,a5d48a4a6e46680896b2fa964151e4b6e9e79abece410b5e0f04cd1386c26de2
ST-IRISK-632B91D1D2DC,azure-blob,Azure Blob Storage,Data Quality,YELLOW,65,"Data Quality: Mapped fields must be complete, valid, and consistently formatted. Review or approval is needed before live implementation.",Define field-level validation and allowed values.,"Field mapping matrix with required fields, status values, and quality rules.","Azure owner, security owner, records/retention reviewer",CONDITIONAL,Store exported sterile register snapshots in controlled folder pattern.,/sterile-compounding/data-contracts/azure-blob,2026-05-12 23:01:46 UTC,6025ea792fa35f4daeca57151f2cc57885088e92689d8f0308ae7050b9b81364
ST-IRISK-52A6E0DE8DDA,azure-blob,Azure Blob Storage,Security and Privacy,GREEN,80,Security and Privacy: Sensitive data must not be pulled or stored unnecessarily. Current blueprint signal is acceptable for mock testing.,Review PHI/PII/secrets handling and least-privilege access.,Security/privacy review confirming metadata-only use and no unnecessary sensitive data.,"Azure owner, security owner, records/retention reviewer",CONDITIONAL,Store exported sterile register snapshots in controlled folder pattern.,/sterile-compounding/data-contracts/azure-blob,2026-05-12 23:01:46 UTC,b161edfb492ba49242bf7e23417bce1621a3bf541e5dd3079d8c473081bedc6f
ST-IRISK-4C525B887AE8,azure-blob,Azure Blob Storage,Validation / CSV Boundary,YELLOW,65,Validation / CSV Boundary: Validated systems cannot be replaced by AssuranceLayer. Review or approval is needed before live implementation.,Document CSV/validation boundary and intended use.,CSV/validation boundary statement and validated-system non-replacement statement.,"Azure owner, security owner, records/retention reviewer",CONDITIONAL,Store exported sterile register snapshots in controlled folder pattern.,/sterile-compounding/data-contracts/azure-blob,2026-05-12 23:01:46 UTC,c3286526898c855544d1edb39b54d042a2ba78b0a73beb5436f332543831093c
ST-IRISK-89BCF4C8B4FA,azure-blob,Azure Blob Storage,Operational Failure Mode,GREEN,85,Operational Failure Mode: Missing or stale connector data must not create false GREEN readiness. Current blueprint signal is acceptable for mock testing.,Define fallback logic and YELLOW/RED behavior.,Fallback rule showing when missing connector data becomes YELLOW/RED instead of false GREEN.,"Azure owner, security owner, records/retention reviewer",CONDITIONAL,Store exported sterile register snapshots in controlled folder pattern.,/sterile-compounding/data-contracts/azure-blob,2026-05-12 23:01:46 UTC,ce246989883a0220fadb7058d0461b9ba0e7415e9fa95dff3b075f1894e1c85f
ST-IRISK-DCB41108C849,azure-blob,Azure Blob Storage,Approval Readiness,YELLOW,65,Approval Readiness: System owner and governance approval must exist before live connection. Review or approval is needed before live implementation.,Capture owner approval and implementation authorization.,Named owner/reviewer approval before live connector design or implementation.,"Azure owner, security owner, records/retention reviewer",CONDITIONAL,Store exported sterile register snapshots in controlled folder pattern.,/sterile-compounding/data-contracts/azure-blob,2026-05-12 23:01:46 UTC,f45091a602a61a0bdbac0f92f32d22d743f80a367f199e1eb5fa73b66b346989
ST-IRISK-84535D0F1B32,azure-confidential-ledger,Azure Confidential Ledger,Source-of-Truth Boundary,YELLOW,60,Source-of-Truth Boundary: External system must remain source of truth where applicable. Review or approval is needed before live implementation.,Document source-of-truth rule and no-writeback boundary.,Document which system remains source of truth and what AssuranceLayer is allowed to store.,"Security owner, cloud owner, QA/Governance reviewer",CONDITIONAL,Anchor freeze snapshot hash and verify transaction reference.,/sterile-compounding/data-contracts/azure-confidential-ledger,2026-05-12 23:01:46 UTC,964802dffeead908c31558c886b77b808fc1a296489c6ea248e4885af24d0517
ST-IRISK-532856DCA228,azure-confidential-ledger,Azure Confidential Ledger,Data Quality,YELLOW,65,"Data Quality: Mapped fields must be complete, valid, and consistently formatted. Review or approval is needed before live implementation.",Define field-level validation and allowed values.,"Field mapping matrix with required fields, status values, and quality rules.","Security owner, cloud owner, QA/Governance reviewer",CONDITIONAL,Anchor freeze snapshot hash and verify transaction reference.,/sterile-compounding/data-contracts/azure-confidential-ledger,2026-05-12 23:01:46 UTC,ae6236732e9fbe6f040ad0093289d4f0089ac68b5532d4c442e6b3daec564b9c
ST-IRISK-E45A76B7C1AB,azure-confidential-ledger,Azure Confidential Ledger,Security and Privacy,GREEN,80,Security and Privacy: Sensitive data must not be pulled or stored unnecessarily. Current blueprint signal is acceptable for mock testing.,Review PHI/PII/secrets handling and least-privilege access.,Security/privacy review confirming metadata-only use and no unnecessary sensitive data.,"Security owner, cloud owner, QA/Governance reviewer",CONDITIONAL,Anchor freeze snapshot hash and verify transaction reference.,/sterile-compounding/data-contracts/azure-confidential-ledger,2026-05-12 23:01:46 UTC,eddce44d4ee0ca221172af4f0b32c7337247a2bab2d628682b8d986e32d921d4
ST-IRISK-EE483A1C30EF,azure-confidential-ledger,Azure Confidential Ledger,Validation / CSV Boundary,YELLOW,65,Validation / CSV Boundary: Validated systems cannot be replaced by AssuranceLayer. Review or approval is needed before live implementation.,Document CSV/validation boundary and intended use.,CSV/validation boundary statement and validated-system non-replacement statement.,"Security owner, cloud owner, QA/Governance reviewer",CONDITIONAL,Anchor freeze snapshot hash and verify transaction reference.,/sterile-compounding/data-contracts/azure-confidential-ledger,2026-05-12 23:01:46 UTC,1e104a92b13f441e5c1bef7abfcca1b1e4daf1bfeeee4bca3c2c830cf6ffea37
ST-IRISK-6C3515D1EDE6,azure-confidential-ledger,Azure Confidential Ledger,Operational Failure Mode,YELLOW,55,Operational Failure Mode: Missing or stale connector data must not create false GREEN readiness. Review or approval is needed before live implementation.,Define fallback logic and YELLOW/RED behavior.,Fallback rule showing when missing connector data becomes YELLOW/RED instead of false GREEN.,"Security owner, cloud owner, QA/Governance reviewer",CONDITIONAL,Anchor freeze snapshot hash and verify transaction reference.,/sterile-compounding/data-contracts/azure-confidential-ledger,2026-05-12 23:01:46 UTC,6c0159f93ba5e61e08674bc4937f3c39fa168ddbbd7f4c907831357a36668cbc
ST-IRISK-ADF786760EE0,azure-confidential-ledger,Azure Confidential Ledger,Approval Readiness,YELLOW,65,Approval Readiness: System owner and governance approval must exist before live connection. Review or approval is needed before live implementation.,Capture owner approval and implementation authorization.,Named owner/reviewer approval before live connector design or implementation.,"Security owner, cloud owner, QA/Governance reviewer",CONDITIONAL,Anchor freeze snapshot hash and verify transaction reference.,/sterile-compounding/data-contracts/azure-confidential-ledger,2026-05-12 23:01:46 UTC,1083d0e93ac42d76a597272c6e6bcd59042a2028e7a677ed1d781c30c1a0df23
ST-IRISK-4CCF624A0558,power-bi,Power BI,Source-of-Truth Boundary,YELLOW,60,Source-of-Truth Boundary: External system must remain source of truth where applicable. Review or approval is needed before live implementation.,Document source-of-truth rule and no-writeback boundary.,Document which system remains source of truth and what AssuranceLayer is allowed to store.,"Analytics owner, data governance reviewer, business owner",CONDITIONAL,Load register exports into a sterile readiness dashboard dataset.,/sterile-compounding/data-contracts/power-bi,2026-05-12 23:01:46 UTC,b9c2c4412bdac358882f9e4b8260f7a871578a33ae06d46259212d0f8c421b66
ST-IRISK-78942565C099,power-bi,Power BI,Data Quality,YELLOW,65,"Data Quality: Mapped fields must be complete, valid, and consistently formatted. Review or approval is needed before live implementation.",Define field-level validation and allowed values.,"Field mapping matrix with required fields, status values, and quality rules.","Analytics owner, data governance reviewer, business owner",CONDITIONAL,Load register exports into a sterile readiness dashboard dataset.,/sterile-compounding/data-contracts/power-bi,2026-05-12 23:01:46 UTC,913ba540612b93e8dbf9c40a1bbcd010e1665f3213516e7ca471fafaca4b7a73
ST-IRISK-74CED15A16DE,power-bi,Power BI,Security and Privacy,GREEN,80,Security and Privacy: Sensitive data must not be pulled or stored unnecessarily. Current blueprint signal is acceptable for mock testing.,Review PHI/PII/secrets handling and least-privilege access.,Security/privacy review confirming metadata-only use and no unnecessary sensitive data.,"Analytics owner, data governance reviewer, business owner",CONDITIONAL,Load register exports into a sterile readiness dashboard dataset.,/sterile-compounding/data-contracts/power-bi,2026-05-12 23:01:46 UTC,83e38c1dbd9b5b4ce824176dd6c601cb9f82c752a8304b6753e47c838ff0edb3
ST-IRISK-AEA8EBFF453B,power-bi,Power BI,Validation / CSV Boundary,GREEN,82,Validation / CSV Boundary: Validated systems cannot be replaced by AssuranceLayer. Current blueprint signal is acceptable for mock testing.,Document CSV/validation boundary and intended use.,CSV/validation boundary statement and validated-system non-replacement statement.,"Analytics owner, data governance reviewer, business owner",CONDITIONAL,Load register exports into a sterile readiness dashboard dataset.,/sterile-compounding/data-contracts/power-bi,2026-05-12 23:01:46 UTC,b099ccae9863964803382f9d49f8d475ccfe3ec5297ccbd03f24e1a1a653571b
ST-IRISK-2795D10FE5D0,power-bi,Power BI,Operational Failure Mode,GREEN,85,Operational Failure Mode: Missing or stale connector data must not create false GREEN readiness. Current blueprint signal is acceptable for mock testing.,Define fallback logic and YELLOW/RED behavior.,Fallback rule showing when missing connector data becomes YELLOW/RED instead of false GREEN.,"Analytics owner, data governance reviewer, business owner",CONDITIONAL,Load register exports into a sterile readiness dashboard dataset.,/sterile-compounding/data-contracts/power-bi,2026-05-12 23:01:46 UTC,0d1b239e6ba7015c6b1bb242cacb81624e6e2731f1351ccebdfa2c183893e637
ST-IRISK-B9A27F047F45,power-bi,Power BI,Approval Readiness,YELLOW,65,Approval Readiness: System owner and governance approval must exist before live connection. Review or approval is needed before live implementation.,Capture owner approval and implementation authorization.,Named owner/reviewer approval before live connector design or implementation.,"Analytics owner, data governance reviewer, business owner",CONDITIONAL,Load register exports into a sterile readiness dashboard dataset.,/sterile-compounding/data-contracts/power-bi,2026-05-12 23:01:46 UTC,8fd47c985dd1efe197532d4b1d48f40b2c4a8e95a009055096be660a0fa666cc
